obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,yrend,age,tenure,Country,Polity datasets IV category
GUA-1931-2,81e587c0-1e42-11e4-b4cd-db5882bf8def,90,GUA,Ubico Castaneda,1931-02-15,1931-02-15,1944-07-01,1944-07-01,Regular,Irregular,"Popular Protest, without Foreign Support",0,Exile,M,1878,1946,1878-11-10,,,0,3.0,2,1.0,,,1931,1944,53,13.37467572913886,,
GUA-1945,81e587c3-1e42-11e4-b4cd-db5882bf8def,90,GUA,Arevalo,1945-03-15,1945-03-15,1951-03-01,1951-03-01,Regular,Regular,Regular,0,Exile,M,1904,1990,1904-09-10,1990-10-06,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juan-5FJos-25C3-25A9-5FAr-25C3-25A9valo&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8_elZ-EqLISq8PgLliYFr79LI5dtj9tBn1CBSL1yiYM&e=,0,1.0,0,1.0,,,1945,1951,41,5.960423554213981,,
GUA-1951,81e587c2-1e42-11e4-b4cd-db5882bf8def,90,GUA,Arbenz Guzman,1951-03-01,1951-03-01,1954-06-27,1954-06-27,Regular,Irregular,"Removed by Military, with Foreign Support",1,Exile,M,1913,1971,1913-09-14,1971-01-27,,0,3.0,5,1.0,,,1951,1954,38,3.323819106484048,,
GUA-1954-3,81e5b895-1e42-11e4-b4cd-db5882bf8def,90,GUA,Castillo Armas,1954-07-08,1954-07-08,1957-07-20,1957-07-20,Irregular,Irregular,Assassination by Unsupported Individual,0,Death,M,1914,1957,1914-11-04,,,1,3.0,11,3.0,,,1954,1957,40,3.033600963743266,,
GUA-1958,81e5b899-1e42-11e4-b4cd-db5882bf8def,90,GUA,Ydigoras Fuente,1958-03-02,1958-03-02,1963-03-31,1963-03-31,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1895,1982,1895-10-17,,,0,3.0,6,1.0,,,1958,1963,63,5.078817497963682,,
GUA-1963,81e5e968-1e42-11e4-b4cd-db5882bf8def,90,GUA,Peralta Azurdia,1963-03-31,1963-03-31,1966-07-01,1966-07-01,Irregular,Regular,Regular,0,OK,M,1908,1997,1908-06-17,,,1,1.0,0,0.0,,,1963,1966,55,3.252633524302347,,
GUA-1966,81e5e969-1e42-11e4-b4cd-db5882bf8def,90,GUA,Mendez Montenegro,1966-07-01,1966-07-01,1970-07-01,1970-07-01,Regular,Regular,Regular,0,OK,M,1915,1996,1915-11-23,,,0,1.0,0,0.0,,,1966,1970,51,4.000082137210209,,
GUA-1970,81e5e96a-1e42-11e4-b4cd-db5882bf8def,90,GUA,Arana Osorio,1970-07-01,1970-07-01,1974-07-01,1974-07-01,Regular,Regular,Regular,0,OK,M,1918,2003,1918-07-17,2003-12-06,,0,1.0,0,0.0,,,1970,1974,52,4.000082137210209,,
GUA-1974,81e5e96b-1e42-11e4-b4cd-db5882bf8def,90,GUA,Laugerud Garcia,1974-07-01,1974-07-01,1978-07-01,1978-07-01,Regular,Regular,Regular,0,OK,M,1930,2009,1930-01-24,2009-12-09,,0,1.0,0,0.0,,,1974,1978,44,4.000082137210209,,
GUA-1978,81e5e96c-1e42-11e4-b4cd-db5882bf8def,90,GUA,Lucas Garcia,1978-07-01,1978-07-01,1982-03-23,1982-03-23,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1924,2006,1924-07-04,2006-05-27,,0,3.0,6,2.0,,,1978,1982,54,3.726291436511359,,
GUA-1993-2,81e64b10-1e42-11e4-b4cd-db5882bf8def,90,GUA,Leon Carpio,1993-06-01,1993-06-01,1996-01-14,1996-01-14,Irregular,Regular,Regular,0,OK,M,1942,2002,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ramiro-5Fde-5FLe-25C3-25B3n-5FCarpio&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8gUSL5CQCzovu3WM7poBX7-HM0bfdZ8hJZ7bPnl-ZIQ&e=,1,1.0,0,0.0,,,1993,1996,51,2.620177005688002,,
HON-1874,81e64b14-1e42-11e4-b4cd-db5882bf8def,91,HON,Leiva,1874-01-13,1874-01-13,1876-06-08,1876-06-08,Irregular,Irregular,Unknown,0,OK,M,1821,1896,,,,1,3.0,-999,0.0,,,1874,1876,53,2.401144445128921,,
HON-1876,81e67be4-1e42-11e4-b4cd-db5882bf8def,91,HON,Soto,1876-08-27,1876-08-27,1883-10-19,1883-10-19,Irregular,Irregular,Unknown,0,Exile,M,1846,1908,,,,1,3.0,-999,1.0,,,1876,1883,30,7.143199381233017,,
HON-1883-2,81e67be6-1e42-11e4-b4cd-db5882bf8def,91,HON,Bogran,1883-11-30,1883-11-30,1891-11-30,1891-11-30,Regular,Regular,Regular,0,Exile,M,1849,1895,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Luis-5FBogr-25C3-25A1n&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ARJSZnskR3nvbg0usj01P7YqejVrGk_WYOXg07E2ypU&e=,0,1.0,0,1.0,,,1883,1891,34,8.000164274420419,,
HON-1891,81e64b14-1e42-11e4-b4cd-db5882bf8def,91,HON,Leiva,1891-11-30,1891-11-30,1893-08-07,1893-08-07,Regular,Irregular,Unknown,1,Exile,M,1821,1896,,,,0,3.0,-999,1.0,,,1891,1893,70,1.686550716304921,,
HON-1894,81e67be8-1e42-11e4-b4cd-db5882bf8def,91,HON,P. Bonilla,1894-02-22,1894-02-22,1899-02-01,1899-02-01,Irregular,Regular,Regular,0,OK,M,1858,1926,,,,1,1.0,0,0.0,,,1894,1899,36,4.941922147614256,,
HON-1899,81e67be9-1e42-11e4-b4cd-db5882bf8def,91,HON,Sierra,1899-02-01,1899-02-01,1903-01-30,1903-01-30,Regular,Irregular,Unknown,0,Exile,M,1839,1907,,,,0,3.0,-999,1.0,,,1899,1903,60,3.991868416189244,,
HON-1903,81e6acb8-1e42-11e4-b4cd-db5882bf8def,91,HON,M. Bonilla,1903-02-01,1903-02-01,1907-04-11,1907-04-11,Irregular,Irregular,Unknown,0,Exile,M,1849,1913,,,,1,3.0,-999,1.0,,,1903,1907,54,4.188997720692416,,
HON-1907,81e6acb9-1e42-11e4-b4cd-db5882bf8def,91,HON,Davila,1907-04-18,1907-04-18,1911-03-28,1911-03-28,Irregular,Irregular,Unknown,0,Exile,M,1856,1927,,,,1,3.0,-999,1.0,,,1907,1911,51,3.942586090063451,,
HON-1912,81e6acb8-1e42-11e4-b4cd-db5882bf8def,91,HON,M. Bonilla,1912-02-02,1912-02-02,1913-03-20,1913-03-20,Regular,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1849,1913,,1913-03-20,,0,2.0,0,-777.0,,,1912,1913,63,1.128017686879265,,
HON-1913,81e6acba-1e42-11e4-b4cd-db5882bf8def,91,HON,Bertrand,1913-03-20,1913-03-20,1915-07-28,1915-07-28,Regular,Regular,Regular,1,OK,M,1866,1926,,,,0,1.0,0,0.0,,,1913,1915,47,2.354600026010117,,
HON-1916,81e6acba-1e42-11e4-b4cd-db5882bf8def,91,HON,Bertrand,1916-02-01,1916-02-01,1919-09-09,1919-09-09,Regular,Irregular,"Removed by Military, without Foreign Support",2,Exile,M,1866,1926,,,,0,3.0,6,1.0,,,1916,1919,50,3.603085621196876,,
HON-1920,81e6acbc-1e42-11e4-b4cd-db5882bf8def,91,HON,Lopez-Gutierrez,1920-02-01,1920-02-01,1924-02-01,1924-02-01,Regular,Irregular,"Removed by Military, without Foreign Support",0,Missing: Natural Death within Six Months of Losing Office,M,1855,1924,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Rafael-5FL-25C3-25B3pez-5FGuti-25C3-25A9rrez&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=SQlPZpIYuhpLYP5eiN-WZ4hzhx9lLNTC69IXp2HiMoM&e=,0,3.0,6,-777.0,,,1920,1924,65,4.000082137210209,,
HON-1924,81e6dd8c-1e42-11e4-b4cd-db5882bf8def,91,HON,Vicente Tosta,1924-02-01,1924-02-01,1925-02-01,1925-02-01,Irregular,Regular,Regular,0,OK,M,1876,1930,,,,1,1.0,0,0.0,,,1924,1925,48,1.002073964557794,,
HON-1925,81e6dd8d-1e42-11e4-b4cd-db5882bf8def,91,HON,Paz Baraona,1925-02-01,1925-02-01,1929-02-01,1929-02-01,Irregular,Regular,Regular,0,OK,M,1863,1937,,,,1,1.0,0,0.0,,,1925,1929,62,4.000082137210209,,
HON-1929,81e6dd8e-1e42-11e4-b4cd-db5882bf8def,91,HON,Mejia Colindres,1929-02-01,1929-02-01,1933-02-01,1933-02-01,Regular,Regular,Regular,0,Exile,M,1878,1966,,,,0,1.0,0,1.0,,,1929,1933,51,4.000082137210209,,
HON-1933,81e6dd8f-1e42-11e4-b4cd-db5882bf8def,91,HON,Carias Andino,1933-02-01,1933-02-01,1949-01-01,1949-01-01,Regular,Regular,Regular,0,OK,M,1876,1969,1876-03-15,,,0,1.0,0,0.0,,,1933,1949,57,15.9154534316242,,
HON-1949,81e6dd90-1e42-11e4-b4cd-db5882bf8def,91,HON,Galvez,1949-01-01,1949-01-01,1954-01-15,1954-01-15,Regular,Retired Due to Ill Health,Regular,0,OK,M,1887,1972,,,,0,2.099999904632568,0,0.0,,,1949,1954,62,5.037748892858854,,
HON-1954,81e70e60-1e42-11e4-b4cd-db5882bf8def,91,HON,Lozano Diaz,1954-01-15,1954-01-15,1956-10-21,1956-10-21,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1885,1957,,,,0,3.0,6,1.0,,,1954,1956,69,2.765286077058393,,
HON-1956,81e70e61-1e42-11e4-b4cd-db5882bf8def,91,HON,Hector Caraccioli,1956-10-21,1956-10-21,1957-12-21,1957-12-21,Irregular,Regular,Regular,0,OK,M,1922,1975,,,,1,1.0,0,0.0,,,1956,1957,34,1.166348384977104,,
HON-1957,81e70e62-1e42-11e4-b4cd-db5882bf8def,91,HON,Villeda Morales,1957-12-21,1957-12-21,1963-10-03,1963-10-03,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1909,1971,1909-11-26,,,0,3.0,6,1.0,,,1957,1963,48,5.782459598759728,,
HON-1971,81e70e64-1e42-11e4-b4cd-db5882bf8def,91,HON,Cruz,1971-06-06,1971-06-06,1972-12-04,1972-12-04,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1903,1985,1903-01-04,1985-08-06,,0,3.0,6,2.0,,,1971,1972,68,1.497635132822714,,
HON-1975,81e73f34-1e42-11e4-b4cd-db5882bf8def,91,HON,Castro,1975-04-22,1975-04-22,1978-08-07,1978-08-07,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,0,OK,M,1938,1987,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juan-5FAlberto-5FMelgar-5FCastro&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ENAZy3ot8G40-v27vASb7Ez5Kqz17HBOonQE5f7VUfU&e=,1,3.0,16,0.0,,,1975,1978,37,3.293702129407175,,
HON-1978,81e73f35-1e42-11e4-b4cd-db5882bf8def,91,HON,Paz Garcia,1978-08-07,1978-08-07,1982-01-27,1982-01-27,Irregular,Regular,Regular,0,OK,M,1931,2000,,,,1,1.0,0,0.0,,,1978,1982,47,3.474403991868416,,
HON-1986,81e73f37-1e42-11e4-b4cd-db5882bf8def,91,HON,Azcona Hoyo,1986-01-27,1986-01-27,1990-01-27,1990-01-27,Regular,Regular,Regular,0,OK,M,1927,2005,1927-01-26,2005-10-24,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FAzcona-5Fdel-5FHoyo&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ojaZAnJtuxtCtjpWh6zne9Fn6OfFH-EeyX2ac8VlcvQ&e=,0,1.0,0,0.0,,,1986,1990,59,4.000082137210209,,
HON-1994,81e77012-1e42-11e4-b4cd-db5882bf8def,91,HON,Reina,1994-01-27,1994-01-27,1998-01-27,1998-01-27,Regular,Regular,Regular,0,OK,M,1926,2003,1926-03-13,2003-08-19,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Carlos-5FRoberto-5FReina&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=_u-S2HeTdkFaYifHYzEc7muz-PekyQXuGpfKWQtGydg&e=,0,1.0,0,0.0,,,1994,1998,68,4.000082137210209,,
SAL-1871,81e77015-1e42-11e4-b4cd-db5882bf8def,92,SAL,Gonzalez,1871-04-15,1871-04-15,1876-02-11,1876-02-11,Irregular,Regular,Regular,0,Missing: No Information Found,M,1818,1887,,,,1,1.0,0,-666.0,,,1871,1876,53,4.826930053320739,,
SAL-1876-2,81e7a0e6-1e42-11e4-b4cd-db5882bf8def,92,SAL,Zaldivar,1876-05-01,1876-05-01,1885-05-14,1885-05-14,Irregular,Irregular,Unknown,0,Exile,M,1834,1903,,,,1,3.0,-999,1.0,,,1876,1885,42,9.035093123062076,,
SAL-1885,81e7a0e7-1e42-11e4-b4cd-db5882bf8def,92,SAL,Menendez,1885-05-22,1885-05-22,1890-06-22,1890-06-22,Irregular,Irregular,Unknown,0,OK,M,1830,1890,,,,1,3.0,-999,0.0,,,1885,1890,55,5.084293311977659,,
SAL-1890,81e7a0e8-1e42-11e4-b4cd-db5882bf8def,92,SAL,Ezeta,1890-06-22,1890-06-22,1894-06-10,1894-06-10,Irregular,Irregular,Unknown,0,Exile,M,1852,1903,,,,1,3.0,-999,1.0,,,1890,1894,38,3.967227253126348,,
SAL-1894,81e7a0e9-1e42-11e4-b4cd-db5882bf8def,92,SAL,Guttierez,1894-06-10,1894-06-10,1898-11-14,1898-11-14,Irregular,Irregular,Unknown,0,Exile,M,1861,1921,,,,1,3.0,-999,1.0,,,1894,1898,33,4.429933537307405,,
SAL-1898,81e7a0ea-1e42-11e4-b4cd-db5882bf8def,92,SAL,Regalado,1898-11-14,1898-11-14,1903-03-01,1903-03-01,Irregular,Regular,Regular,0,OK,M,1864,1906,,,,1,1.0,0,0.0,,,1898,1903,34,4.290300279950992,,
SAL-1903,81e7d1ba-1e42-11e4-b4cd-db5882bf8def,92,SAL,Escalon,1903-03-01,1903-03-01,1907-02-28,1907-02-28,Regular,Regular,Regular,0,Missing: No Information Found,M,1847,1923,,,,0,1.0,0,-666.0,,,1903,1907,56,3.997344230203221,,
SAL-1907,81e7d1bb-1e42-11e4-b4cd-db5882bf8def,92,SAL,Figueroa,1907-03-01,1907-03-01,1911-02-28,1911-02-28,Regular,Regular,Regular,0,Missing: No Information Found,M,1849,1919,,,,0,1.0,0,-666.0,,,1907,1911,58,3.997344230203221,,
SAL-1911,81e7d1bc-1e42-11e4-b4cd-db5882bf8def,92,SAL,Araujo,1911-03-01,1911-03-01,1913-02-09,1913-02-09,Regular,Irregular,Unknown,0,Death,M,1865,1913,,,,0,3.0,-999,3.0,,,1911,1913,46,1.946651881968829,,
SAL-1913,81e7d1bd-1e42-11e4-b4cd-db5882bf8def,92,SAL,C. Melendez,1913-02-11,1913-02-11,1914-08-15,1914-08-15,Regular,Regular,Regular,0,OK,M,1861,1919,1861-02-01,1919-10-09,,0,1.0,0,0.0,Brother-in-law of Quinonez Molina%81e7d1be-1e42-11e4-b4cd-db5882bf8def,0.0,1913,1914,52,1.505848853843679,,
SAL-1915,81e7d1bd-1e42-11e4-b4cd-db5882bf8def,92,SAL,C. Melendez,1915-03-01,1915-03-01,1918-12-21,1918-12-21,Regular,Retired Due to Ill Health,Regular,1,OK,M,1861,1919,1861-02-01,1919-10-09,,0,2.099999904632568,0,0.0,Brother-in-law of Quinonez Molina%81e7d1be-1e42-11e4-b4cd-db5882bf8def,1.0,1915,1918,54,3.808428646721014,,
SAL-1919,81e7d1bf-1e42-11e4-b4cd-db5882bf8def,92,SAL,J. Melendez,1919-03-01,1919-03-01,1923-02-28,1923-02-28,Regular,Regular,Regular,0,OK,M,1871,1953,1871-04-15,,,0,1.0,0,0.0,,,1919,1923,48,3.997344230203221,,
SAL-1923,81e7d1be-1e42-11e4-b4cd-db5882bf8def,92,SAL,Quinonez Molina,1923-03-01,1923-03-01,1927-02-28,1927-02-28,Regular,Regular,Regular,2,Exile,M,1873,1950,,,,0,1.0,0,1.0,Brother-in-law of C. Melendez%81e7d1bd-1e42-11e4-b4cd-db5882bf8def,1.0,1923,1927,50,3.997344230203221,,
SAL-1927,81e8028e-1e42-11e4-b4cd-db5882bf8def,92,SAL,Romeo Bosque,1927-03-01,1927-03-01,1931-02-28,1931-02-28,Regular,Regular,Regular,0,Exile,M,1860,1935,,,,0,1.0,0,1.0,,,1927,1931,67,3.997344230203221,,
SAL-1931-2,81e80290-1e42-11e4-b4cd-db5882bf8def,92,SAL,Hernandez Martinez,1931-12-04,1931-12-04,1934-08-29,1934-08-29,Regular,Regular,Regular,0,OK,M,1882,1966,1882-10-29,1966-04-11,,0,1.0,0,0.0,,,1931,1934,49,2.735169099981519,,
SAL-1935,81e80290-1e42-11e4-b4cd-db5882bf8def,92,SAL,Hernandez Martinez,1935-02-28,1935-02-28,1944-05-09,1944-05-09,Regular,Irregular,"Popular Protest, without Foreign Support",1,Exile,M,1882,1966,1882-10-29,1966-04-11,,0,3.0,2,1.0,,,1935,1944,53,9.193891729467408,,
SAL-1945,81e83362-1e42-11e4-b4cd-db5882bf8def,92,SAL,Castaneda Castro,1945-02-28,1945-02-28,1948-12-14,1948-12-14,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1888,1965,1888-08-06,,,0,3.0,6,2.0,,,1945,1948,57,3.792001204679083,,
SAL-1950,81e83364-1e42-11e4-b4cd-db5882bf8def,92,SAL,Osorio,1950-09-14,1950-09-14,1956-09-14,1956-09-14,Regular,Regular,Regular,1,OK,M,1910,1969,,,,0,1.0,0,0.0,,,1950,1956,40,6.001492159318809,,
SAL-1956,81e83366-1e42-11e4-b4cd-db5882bf8def,92,SAL,Lemus,1956-09-14,1956-09-14,1960-10-26,1960-10-26,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1911,1993,,,,0,3.0,6,1.0,,,1956,1960,45,4.115074231503727,,
SAL-1962-2,81e86439-1e42-11e4-b4cd-db5882bf8def,92,SAL,Rivera,1962-07-01,1962-07-01,1967-07-01,1967-07-01,Regular,Regular,Regular,0,OK,M,1922,1973,,,,0,1.0,0,0.0,,,1962,1967,40,4.999418194761015,,
SAL-1967,81e8643a-1e42-11e4-b4cd-db5882bf8def,92,SAL,Sanchez Hernandez,1967-07-01,1967-07-01,1972-07-01,1972-07-01,Regular,Regular,Regular,0,OK,M,1917,2003,1917-07-07,,,0,1.0,0,0.0,,,1967,1972,50,5.002156101768003,,
SAL-1980,81e8950d-1e42-11e4-b4cd-db5882bf8def,92,SAL,Duarte,1980-12-13,1980-12-13,1982-05-02,1982-05-02,Irregular,Regular,Regular,0,OK,M,1925,1990,1925-11-23,1990-02-23,,1,1.0,0,0.0,,,1980,1982,55,1.382643038529196,,
SAL-1982,81e8950e-1e42-11e4-b4cd-db5882bf8def,92,SAL,Magana Borjo,1982-05-02,1982-05-02,1984-06-01,1984-06-01,Regular,Regular,Regular,0,OK,M,1925,2001,1925-10-08,2001-07-10,,0,1.0,0,0.0,,,1982,1984,57,2.083547232318254,,
SAL-1984,81e8950d-1e42-11e4-b4cd-db5882bf8def,92,SAL,Duarte,1984-06-01,1984-06-01,1989-06-01,1989-06-01,Regular,Regular,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1925,1990,1925-11-23,1990-02-23,,0,1.0,0,-777.0,,,1984,1989,59,4.999418194761015,,
NIC-1871,81e8c5e2-1e42-11e4-b4cd-db5882bf8def,93,NIC,Quadra,1871-03-01,1871-03-01,1875-03-01,1875-03-01,Regular,Regular,Regular,0,OK,M,1812,1894,,,,0,1.0,0,0.0,,,1871,1875,59,4.000082137210209, Nicaragua,Democracy
NIC-1875,81e8c5e3-1e42-11e4-b4cd-db5882bf8def,93,NIC,Chamorro,1875-03-01,1875-03-01,1879-03-01,1879-03-01,Regular,Regular,Regular,0,OK,M,1818,1894,,,,0,1.0,0,0.0,Father of Diego Chamorro%81e95864-1e42-11e4-b4cd-db5882bf8def,0.0,1875,1879,57,4.000082137210209, Nicaragua,Democracy
NIC-1879,81e8f6b2-1e42-11e4-b4cd-db5882bf8def,93,NIC,Zavala,1879-03-01,1879-03-01,1883-03-01,1883-03-01,Regular,Regular,Regular,0,OK,M,1835,1906,,,,0,1.0,0,0.0,,,1879,1883,44,4.000082137210209, Nicaragua,Democracy
NIC-1883,81e8f6b3-1e42-11e4-b4cd-db5882bf8def,93,NIC,Cardenas,1883-03-01,1883-03-01,1887-03-01,1887-03-01,Regular,Regular,Regular,0,OK,M,1836,1916,,,,0,1.0,0,0.0,,,1883,1887,47,4.000082137210209, Nicaragua,Democracy
NIC-1887,81e8f6b4-1e42-11e4-b4cd-db5882bf8def,93,NIC,Carazo,1887-03-01,1887-03-01,1889-08-01,1889-08-01,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1821,1889,1821-10-24,,,0,2.0,0,-777.0,,,1887,1889,66,2.420309794177841, Nicaragua,Democracy
NIC-1889,81e8f6b5-1e42-11e4-b4cd-db5882bf8def,93,NIC,Sacasa,1889-08-01,1889-08-01,1893-06-01,1893-06-01,Regular,Irregular,Unknown,0,Exile,M,1840,1896,,,,0,3.0,-999,1.0,"Father of Sacasa, Juan%81e95868-1e42-11e4-b4cd-db5882bf8def",0.0,1889,1893,49,3.833069809783911, Nicaragua,Democracy
NIC-1893,81e8f6b6-1e42-11e4-b4cd-db5882bf8def,93,NIC,Zelaya,1893-07-31,1893-07-31,1909-12-16,1909-12-16,Irregular,Irregular,Unknown,0,Exile,M,1853,1919,1853-10-31,,,1,3.0,-999,1.0,,,1893,1909,40,16.37542180879827, Nicaragua,Democracy
NIC-1911,81e92789-1e42-11e4-b4cd-db5882bf8def,93,NIC,Adolfo Diaz,1911-05-09,1911-05-09,1916-12-31,1916-12-31,Irregular,Regular,Regular,0,OK,M,1875,1964,,,,1,1.0,0,0.0,,,1911,1916,36,5.648302155417292, Nicaragua,Democracy
NIC-1917,81e9278a-1e42-11e4-b4cd-db5882bf8def,93,NIC,Chamorro Vargas,1917-01-01,1917-01-01,1920-12-31,1920-12-31,Regular,Regular,Regular,0,OK,M,1871,1966,1871-05-11,1966-02-26,,0,1.0,0,0.0,,,1917,1920,46,3.997344230203221, Nicaragua,Democracy
NIC-1921,81e95864-1e42-11e4-b4cd-db5882bf8def,93,NIC,Diego Chamorro,1921-01-01,1921-01-01,1923-10-12,1923-10-12,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1861,1923,,,,0,2.0,0,-777.0,Son of Chamorro%81e8c5e3-1e42-11e4-b4cd-db5882bf8def,1.0,1921,1923,60,2.776237705086347, Nicaragua,Democracy
NIC-1923,81e95865-1e42-11e4-b4cd-db5882bf8def,93,NIC,Martinez Bartol,1923-10-12,1923-10-12,1924-12-07,1924-12-07,Regular,Regular,Regular,0,Exile,M,1860,1936,,,,0,1.0,0,1.0,,,1923,1924,63,1.15539675694915, Nicaragua,Democracy
NIC-1925,81e95866-1e42-11e4-b4cd-db5882bf8def,93,NIC,Solorzano,1925-01-01,1925-01-01,1926-01-14,1926-01-14,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1860,1936,,,,0,3.0,6,1.0,,,1925,1926,65,1.034928848641656, Nicaragua,Democracy
NIC-1926-2,81e92789-1e42-11e4-b4cd-db5882bf8def,93,NIC,Adolfo Diaz,1926-10-30,1926-10-30,1929-01-01,1929-01-01,Regular,Regular,Regular,1,Exile,M,1875,1964,,,,0,1.0,0,1.0,,,1926,1929,51,2.173898163548875, Nicaragua,Democracy
NIC-1929,81e95867-1e42-11e4-b4cd-db5882bf8def,93,NIC,Moncada,1929-01-01,1929-01-01,1932-12-31,1932-12-31,Regular,Regular,Regular,0,OK,M,1871,1945,,,,0,1.0,0,0.0,,,1929,1932,58,3.997344230203221, Nicaragua,Democracy
NIC-1933,81e95868-1e42-11e4-b4cd-db5882bf8def,93,NIC,"Sacasa, Juan",1933-01-01,1933-01-01,1936-06-06,1936-06-06,Regular,Regular,Regular,0,Exile,M,1874,1946,1874-12-21,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juan-5FBautista-5FSacasa&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=BdSxb4aTO0p03uohUeSOeRuBFY_xl_s-2RsD9QLyTbk&e=,0,1.0,0,1.0,Son of Sacasa%81e8f6b5-1e42-11e4-b4cd-db5882bf8def,1.0,1933,1936,59,3.427859572749612, Nicaragua,Democracy
NIC-1937,81e98939-1e42-11e4-b4cd-db5882bf8def,93,NIC,Anastasio Somoza Garcia,1937-01-01,1937-01-01,1947-05-01,1947-05-01,Regular,Regular,Regular,0,OK,M,1896,1956,1896-02-01,1956-09-29,,0,1.0,0,0.0,,,1937,1947,41,10.32738523036065, Nicaragua,Democracy
NIC-1947-2,81e98939-1e42-11e4-b4cd-db5882bf8def,93,NIC,Anastasio Somoza Garcia,1947-05-26,1947-05-26,1956-09-29,1956-09-29,Irregular,Irregular,Assassination by Unsupported Individual,1,Death,M,1896,1956,1896-02-01,1956-09-29,,1,3.0,11,3.0,,,1947,1956,51,9.347214521858765, Nicaragua,Democracy
NIC-1956,81e9893b-1e42-11e4-b4cd-db5882bf8def,93,NIC,Luis Somoza Debayle,1956-09-29,1956-09-29,1963-05-01,1963-05-01,Regular,Regular,Regular,0,OK,M,1922,1967,1922-11-18,,,0,1.0,0,0.0,,,1956,1963,34,6.58466635180736, Nicaragua,Democracy
