leader,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,Polity,pop,begin_gdppc,age,tenure,growth_rate
Sanchez Cerro,2.0,2.0,7.0,0,2.0,1,1889,1,3.0,6,1.0,0,,1930,9.0,3.745777217889759,3.4234097277330933,41,0.5092507032998624,-0.0958129007921538
Ricardo Leonicio Elias,2.0,2.0,7.0,0,6.0,1,1874,1,3.0,6,0.0,0,,1931,9.0,3.7528164311882715,3.379668034033654,57,0.010951628027954,-0.0538172715894869
Gustavo Jimenez,2.0,2.0,7.0,0,6.0,1,1886,1,3.0,6,0.0,0,,1931,9.0,3.7528164311882715,3.379668034033654,45,0.0136895350349425,-0.0538172715894869
Samanez Ocampo,2.0,1.0,5.0,0,6.0,1,1866,1,1.0,0,0.0,0,,1931,9.0,3.7528164311882715,3.379668034033654,65,0.7474486129078626,-0.0538172715894869
Sanchez Cerro,1.0,2.0,1.0,1,1.0,1,1889,0,3.0,11,3.0,0,,1931,9.0,3.7598188773748262,3.379668034033654,42,1.3935946665571504,0.017939090529829
Benavidez,1.0,1.0,5.0,1,6.0,1,1876,0,1.0,0,0.0,0,,1933,9.0,3.801952234854282,3.394976719554564,57,6.6065696078632685,0.0318738852770266
Ugarteche,1.0,1.0,5.0,0,6.0,1,1889,0,1.0,0,0.0,1,1.0,1939,9.0,3.8457180179666586,3.4824447919182653,50,5.637350527389337,0.0051585994951158
Bustamante,1.0,2.0,7.0,0,2.0,1,1894,0,3.0,6,1.0,0,,1945,9.0,3.867820908045573,3.4956830676169153,51,3.252633524302347,0.0120568508463749
Odria,2.0,1.0,5.0,0,6.0,1,1897,1,1.0,0,0.0,0,,1948,9.0,3.8826668129706996,3.5161385767170743,51,1.5879860640533343,0.0604814137720901
Noriega,1.0,1.0,5.0,0,6.0,1,1900,0,1.0,0,0.0,0,,1950,9.0,3.893550942182924,3.565729787831127,50,0.1560606993983449,0.0511008426202772
Odria,1.0,1.0,5.0,1,2.0,1,1897,0,1.0,0,1.0,0,,1950,9.0,3.9496290467984716,3.565729787831127,53,6.001492159318809,0.0274142818312429
Ugarteche,1.0,2.0,7.0,1,3.0,1,1889,0,3.0,6,2.0,1,1.0,1956,9.0,4.021871226167571,3.6419695977020594,67,5.974113089248924,0.0321170657544659
Perez Godoy,2.0,2.0,12.0,0,3.0,1,1905,1,3.0,16,2.0,0,,1962,9.0,4.034459999505578,3.718501688867274,57,0.6215048905863912,0.0160611854684511
Lindley Lopez,2.0,1.0,5.0,0,6.0,1,1908,1,1.0,0,0.0,0,,1963,9.0,4.047021617404377,3.725421550074259,55,0.4024723300273106,0.0393300715092208
Belaunde,1.0,2.0,7.0,0,2.0,1,1913,0,3.0,6,1.0,0,,1963,9.0,4.096075366085106,3.725421550074259,50,5.185595871236234,0.0175636682975787
Velasco Alvarado,2.0,2.0,7.0,0,6.0,1,1910,1,3.0,6,0.0,0,,1968,9.0,4.180733548162336,3.7689339421867816,58,6.902263564618028,0.0248552945182158
Morales Bermudez,2.0,1.0,5.0,0,6.0,1,1921,1,1.0,0,0.0,1,1.0,1975,9.0,4.23792804935938,3.8385972528166565,54,4.911805170537383,-0.0029292343387471
Belaunde,1.0,1.0,5.0,1,6.0,1,1913,0,1.0,0,0.0,0,,1980,9.0,4.288517501797074,3.832189461068513,67,4.999418194761015,-0.0279911699779249
Garcia Perez,1.0,1.0,5.0,0,6.0,1,1949,0,1.0,0,0.0,0,,1985,9.0,4.334453751150931,3.766710207262259,36,4.999418194761015,-0.0359000684462696
Fujimori,1.0,1.0,5.0,0,2.0,1,1938,0,1.0,0,1.0,0,,1990,9.0,4.412272848985349,3.6807886115066824,52,10.321909416346674,0.0235708484216513
Valentin Paniagua,1.0,1.0,5.0,0,6.0,1,1936,0,1.0,0,0.0,0,,2000,9.0,4.418047847826821,3.7809106872599987,64,0.6762630307261613,-0.0046403222764549
Alejandro Toledo,1.0,1.0,5.0,0,6.0,1,1946,0,1.0,0,0.0,0,,2001,9.0,4.443953975446299,3.778890730643229,55,4.999418194761015,0.0516011363967239
Garcia Perez,1.0,1.0,5.0,1,6.0,1,1949,0,1.0,0,0.0,0,,2006,9.0,4.466814545436082,3.878573333317312,57,4.999418194761015,0.0656827552158756
Ollanta Humala,1.0,7.0,15.0,0,8.0,1,1962,0,-888.0,-888,-888.0,0,,2011,9.0,4.484220333396834,4.001906704040885,49,4.4271956303004165,0.0278972520908004
M. D. da Fonseca,2.0,2.0,14.0,0,6.0,1,1823,1,3.0,-999,0.0,1,0.0,1889,8.0,4.162534536549356,2.9960736544852753,66,2.0205753711575185,0.0541540531449714
Peixoto,1.0,1.0,5.0,0,6.0,1,1839,0,1.0,0,0.0,0,,1891,8.0,4.193319430374477,3.061452479087193,52,2.9788428236034963,-0.0873842592592592
de Moraes Barros,1.0,1.0,5.0,0,6.0,1,1841,0,1.0,0,0.0,0,,1894,8.0,4.234365405741633,2.929418925714293,53,4.000082137210209,0.0171764705882353
de Campos Salles,1.0,1.0,5.0,0,6.0,1,1841,0,1.0,0,0.0,0,,1898,8.0,4.273741836211047,2.965201701025912,57,3.997344230203221,-0.0005417118093174
Rodriguez Alves,1.0,1.0,5.0,0,6.0,1,1848,0,1.0,0,0.0,0,,1902,8.0,4.310204588898006,2.964259630196849,54,4.000082137210209,0.0156351791530944
Moreira Penna,1.0,4.0,5.0,0,1.0,1,1847,0,2.0,0,-777.0,0,,1906,8.0,4.337539124196711,2.996949248495381,59,2.5791084005831744,0.0020140986908358
Pecanha,1.0,1.0,5.0,0,6.0,1,1867,0,1.0,0,0.0,0,,1909,8.0,4.346665866742201,2.9995654882259823,42,1.4209737366270354,-0.0045045045045045
H. R. da Fonseca,1.0,1.0,5.0,0,6.0,1,1885,0,1.0,0,0.0,1,1.0,1910,8.0,4.383114905342069,2.99563519459755,25,4.000082137210209,0.0028282828282828
Braz Pereira Gomez,1.0,1.0,5.0,0,6.0,1,1868,0,1.0,0,0.0,0,,1914,8.0,4.419575781062139,3.0017337128090005,46,4.000082137210209,0.0073705179282868
da Costa Ribeiro,1.0,1.0,5.0,0,6.0,1,1868,0,1.0,0,0.0,0,,1918,8.0,4.4287015996230545,3.017450729510536,50,0.6981662867820695,0.1085494716618635
de Silva Pessoa,1.0,1.0,5.0,0,6.0,1,1865,0,1.0,0,0.0,0,,1919,8.0,4.455484401803545,3.0622058088197126,54,3.30191585042814,0.03184575389948
de Silva Bernar,1.0,1.0,5.0,0,2.0,1,1875,0,1.0,0,1.0,0,,1922,8.0,4.490702747711716,3.1142772965615864,47,4.000082137210209,-0.0003074558032282
de Souza,1.0,2.0,7.0,0,3.0,1,1870,0,3.0,6,2.0,0,,1926,8.0,4.525925466513464,3.1136091510730277,56,3.9398481830564624,0.0098152424942263
Vargas,2.0,2.0,7.0,0,6.0,1,1883,1,3.0,6,0.0,0,,1930,8.0,4.664782957372622,3.130333768495006,47,15.014682026324977,0.0204629629629629
Linhares,1.0,1.0,5.0,0,6.0,1,1886,0,1.0,0,0.0,0,,1945,8.0,4.67498048645775,3.2533380053261065,59,0.2546253516499312,0.0792410714285714
Dutra,1.0,1.0,5.0,0,6.0,1,1885,0,1.0,0,0.0,0,,1946,8.0,4.740327407556679,3.286456469746983,61,4.999418194761015,0.0356773526370217
Vargas,1.0,2.0,7.0,1,7.0,1,1883,0,3.0,6,3.1,0,,1951,8.0,4.77807320789181,3.3577443251803754,68,3.5346379460221637,0.0276437033786748
Cafe Filho,1.0,5.0,5.0,0,3.0,1,1899,0,2.1,0,2.0,0,,1954,8.0,4.790802531951766,3.4032921451582543,55,1.2074169900819318,0.0284472540497826
Coimbra da Luz,1.0,2.0,7.0,0,3.0,1,1894,0,3.0,6,2.0,0,,1955,8.0,4.803675519041137,3.427323786357247,61,0.0082137210209655,-0.0011214953271028
Oliveria Ramos,1.0,1.0,5.0,0,6.0,1,1889,0,1.0,0,0.0,0,,1955,8.0,4.803675519041137,3.427323786357247,66,0.2217704675660691,-0.0011214953271028
Kubitschek,1.0,1.0,5.0,0,6.0,1,1902,0,1.0,0,0.0,0,,1956,8.0,4.868249938689534,3.426836453803508,54,5.002156101768003,0.0569486027944111
Quadros,1.0,1.0,5.0,0,2.0,1,1917,0,1.0,0,1.0,0,,1961,8.0,4.881038624228432,3.554489160003819,44,0.5640088434396325,0.0351464435146442
Ranieri Mazzilli,1.0,1.0,5.0,0,6.0,1,1910,0,1.0,0,0.0,0,,1961,8.0,4.881038624228432,3.554489160003819,51,0.0355927910908505,0.0351464435146442
Goulart,1.0,2.0,7.0,0,2.0,1,1918,0,3.0,6,1.0,0,,1961,8.0,4.906695577450821,3.554489160003819,43,2.5681567725552203,0.004834960483496
Ranieri Mazzilli,1.0,1.0,5.0,1,6.0,1,1910,0,1.0,0,0.0,0,,1964,8.0,4.919563958225724,3.560743301054712,54,0.0355927910908505,-0.0054990376684079
Castello Branco,2.0,1.0,5.0,0,1.0,1,1900,1,1.0,0,-777.0,0,,1964,8.0,4.944728487274329,3.560743301054712,64,2.913133055435772,0.0144807991934744
Costa de Silva,1.0,5.0,5.0,0,1.0,1,1902,0,2.1,0,-777.0,0,,1967,8.0,4.96901610756285,3.5792117802314993,65,2.4668542132966453,0.0454984628897672
Medici,2.0,1.0,5.0,0,6.0,1,1905,1,1.0,0,0.0,0,,1969,8.0,5.026050901272454,3.634779458145952,64,4.386127025195589,0.0975191282170183
Geisel,1.0,1.0,5.0,0,6.0,1,1907,0,1.0,0,0.0,0,,1974,8.0,5.079546623495111,3.807264355276107,67,4.999418194761015,0.041147132169576
Figueiredo,1.0,1.0,5.0,0,6.0,1,1918,0,1.0,0,0.0,0,,1979,8.0,5.137929834522882,3.8885164610749454,61,6.01791960136074,0.0023267838676318
Sarnay,1.0,1.0,5.0,0,6.0,1,1930,0,1.0,0,0.0,0,,1985,8.0,5.179465613075431,3.8955330394840706,55,4.982990752719084,-0.0005087763927753
Mello,1.0,1.0,5.0,0,6.0,1,1949,0,1.0,0,0.0,0,,1990,8.0,5.193905789109416,3.894426837964188,41,2.551729330513289,-0.0012414222562271
"Franco, Itamar",1.0,1.0,5.0,0,6.0,1,1930,0,1.0,0,0.0,0,,1992,8.0,5.207707525980701,3.8928063900908456,62,2.245083745730576,0.0342555373135405
Cardoso,1.0,1.0,5.0,0,6.0,1,1931,0,1.0,0,0.0,0,,1995,8.0,5.264091293597919,3.9519052474859886,64,8.000164274420419,0.0174132272532548
Lula da Silva,1.0,1.0,5.0,0,6.0,1,1945,0,1.0,0,0.0,0,,2003,8.0,5.300864495547526,4.01513313374803,58,8.000164274420419,0.0480345459841809
Rousseff,1.0,7.0,15.0,0,8.0,0,1947,0,-888.0,-888,-888.0,0,,2011,8.0,5.31527037790002,4.1711704349016205,64,4.996680287754026,0.0134178410086979
Baptista,1.0,1.0,5.0,0,6.0,1,1832,0,1.0,0,0.0,0,,1892,7.0,,3.143014800254095,60,4.024723300273107,-0.0054676258992805
Fernandez Alonso,1.0,2.0,14.0,0,2.0,1,1849,0,3.0,-999,1.0,0,,1896,7.0,,3.130976691605617,47,3.140379337015818,0.0125739644970414
Jose Manuel Pando,2.0,1.0,5.0,0,6.0,1,1848,1,1.0,0,0.0,0,,1899,7.0,3.243286146083446,3.1522883443830563,51,4.826930053320739,0.0056338028169014
Montes,1.0,1.0,5.0,0,6.0,1,1861,0,1.0,0,0.0,0,,1904,7.0,3.2605483726369795,3.164352855784437,43,5.193809592257199,0.0218036529680365
Villazon,1.0,1.0,5.0,0,6.0,1,1848,0,1.0,0,0.0,0,,1909,7.0,3.274388795550379,3.2177470732627937,61,3.808428646721014,0.0319503331314354
Montes,1.0,1.0,5.0,1,6.0,1,1861,0,1.0,0,0.0,0,,1913,7.0,3.3059958827708047,3.269979676645324,52,4.000082137210209,0.010204081632653
Gutierrez Guerra,1.0,2.0,9.0,0,2.0,1,1869,0,3.0,8,1.0,0,,1917,7.0,3.3296012483565187,3.2915908256580013,48,2.9049193344148065,-0.0042582183614375
Saavedra,2.0,1.0,5.0,0,6.0,1,1870,1,1.0,0,0.0,0,,1920,7.0,3.3546845539547285,3.2860071220794747,50,5.147265173138394,0.0182884748102139
Felipe Guzman,1.0,1.0,5.0,0,5.0,1,1879,0,1.0,0,-666.0,0,,1925,7.0,3.359645792674543,3.3312247810207323,46,0.3531900039015175,0.0060634328358208
Siles,1.0,2.0,7.0,0,2.0,1,1905,0,3.0,6,1.0,1,0.0,1926,7.0,3.379668034033654,3.333850145102545,21,4.454574700370302,0.0114974501622624
Blanco Galindo,2.0,1.0,5.0,0,6.0,1,1882,1,1.0,0,0.0,0,,1930,7.0,3.3847117429382823,3.3581252852766488,48,0.6926904727680925,-0.1056554142919772
Salamanca,1.0,2.0,7.0,0,3.0,1,1868,0,3.0,6,2.0,0,,1931,7.0,3.3998467127129226,3.3096301674258988,63,3.734505157532325,0.0072303921568627
Tejada Sorzano,1.0,2.0,7.0,0,2.0,1,1882,0,3.0,6,1.0,0,,1934,7.0,3.4097641042663462,3.3220124385824006,52,1.4702560627528285,0.0312053358742258
Toro,2.0,2.0,12.0,0,2.0,1,1898,1,3.0,16,1.0,0,,1936,7.0,3.4148062795010126,3.3483048630481607,38,1.1526588499421615,0.0338565022421524
"Busch, G.",2.0,6.0,5.0,0,1.0,1,1903,1,2.2,0,-777.0,0,,1937,7.0,3.424718337331567,3.37675939540488,34,2.1109263023881395,0.0149797004059918
Quintanila,2.0,1.0,5.0,0,6.0,1,1888,1,1.0,0,0.0,0,,1939,7.0,3.429752280002408,3.3958503760187813,51,0.6461460536492878,0.0719453376205787
Penaranda,1.0,2.0,7.0,0,3.0,1,1891,0,3.0,6,2.0,0,,1940,7.0,3.4448251995097476,3.4260230156898763,49,3.6797470173925535,0.0239032620922384
Villarroel,2.0,2.0,4.0,0,1.0,1,1908,1,3.0,2,3.0,0,,1943,7.0,3.459844642388208,3.465680211598278,35,2.584584214597151,-0.0035363906000456
Guillen,2.0,1.0,5.0,0,6.0,1,1890,1,1.0,0,0.0,0,,1946,7.0,3.4647875196459372,3.4610480916706576,56,0.0711855821817011,-0.0325147007955725
Gutierrez,1.0,1.0,5.0,0,6.0,1,1884,0,1.0,0,0.0,0,,1946,7.0,3.4647875196459372,3.4610480916706576,62,0.5640088434396325,-0.0325147007955725
Herzog,1.0,5.0,5.0,0,6.0,1,1896,0,2.1,0,0.0,0,,1947,7.0,3.474798818800631,3.4466924663715273,51,2.157470721506944,0.0340841377666547
Urriolagoitia,1.0,2.0,7.0,0,2.0,1,1894,0,3.0,6,1.0,0,,1949,7.0,3.450813478289898,3.488973524726508,55,2.023313278164508,0.0136230943885825
Ballivian Rojas,2.0,2.0,11.0,0,2.0,1,1902,1,3.0,4,1.0,0,,1951,7.0,3.459892091326372,3.506369717095504,49,0.906247219313196,0.0087254596447492
Siles Zuazo,2.0,1.0,5.0,0,6.0,1,1914,1,1.0,0,0.0,1,1.0,1952,7.0,3.4690805801082054,3.5101426994025733,38,0.0136895350349425,-0.1136855112758726
Paz Estenssoro,1.0,1.0,5.0,0,6.0,1,1907,0,1.0,0,0.0,1,,1952,7.0,3.497205904259257,3.5101426994025733,45,4.1670944646365085,-0.0320049428483163
Siles Zuazo,1.0,1.0,5.0,1,6.0,1,1914,0,1.0,0,0.0,1,1.0,1956,7.0,3.535809522962407,3.4344092075875,42,4.136977487559635,-0.0116954762780433
Paz Estenssoro,1.0,2.0,7.0,1,2.0,1,1907,0,3.0,6,1.0,1,1.0,1960,7.0,3.5756573452205003,3.4082399653118496,53,4.246493767839175,0.0194531249999999
Barrientos Ortuna,2.0,1.0,5.0,0,6.0,1,1919,1,1.0,0,0.0,0,,1964,7.0,3.5960991858010596,3.448551739201578,45,1.1636104779701155,0.0364898540405838
Ovando Candia,1.0,1.0,5.0,0,6.0,1,1918,0,1.0,0,0.0,0,,1966,7.0,3.606452845819462,3.479143247978613,48,0.5831741924885522,0.037491705374917
Barrientos Ortuna,1.0,4.0,5.0,1,1.0,1,1919,0,2.0,0,-777.0,0,,1966,7.0,3.6274551645765234,3.479143247978613,47,2.724217471953565,0.0403671754036717
Siles Salinas,1.0,2.0,7.0,0,2.0,1,1925,0,3.0,6,1.0,0,,1969,7.0,3.638111506113039,3.5287881917748964,44,0.4161618650622531,0.0266350991417578
Ovando Candia,2.0,2.0,7.0,1,2.0,1,1918,1,3.0,6,1.0,0,,1969,7.0,3.638111506113039,3.5287881917748964,51,1.0267151276206905,0.0133175495708789
Torres,2.0,2.0,7.0,0,2.0,1,1921,1,3.0,6,1.0,0,,1970,7.0,3.648816902104941,3.5402042998420598,49,0.8733923352293339,0.0126837705390603
Banzer Suarez,2.0,2.0,7.0,0,2.0,1,1926,1,3.0,6,1.0,0,,1971,7.0,3.7163891931596345,3.5456781497920256,45,6.913215192645982,0.0331422064983123
Pereda Asbun,2.0,2.0,7.0,0,2.0,1,1932,1,3.0,6,1.0,0,,1978,7.0,3.726481147768522,3.636287252098513,46,0.344976282880552,-0.0233364140480591
Padilla Aranciba,2.0,1.0,5.0,0,6.0,1,1927,1,1.0,0,0.0,0,,1978,7.0,3.726481147768522,3.636287252098513,51,0.7036421007960465,-0.0233364140480591
Guevara Arze,1.0,2.0,7.0,0,6.0,1,1911,0,3.0,6,0.0,0,,1979,7.0,3.7357025112783764,3.626032247829019,68,0.2327220955940231,-0.0300449491365034
Natusch Busch,2.0,1.0,5.0,0,2.0,1,1927,1,1.0,0,1.0,0,,1979,7.0,3.7357025112783764,3.626032247829019,52,0.0410686051048276,-0.0300449491365034
Lidia Gueiler Tejada,1.0,2.0,8.0,0,2.0,0,1925,0,3.0,7,1.0,1,0.0,1979,7.0,3.7357025112783764,3.626032247829019,54,0.6680493097051958,-0.0300449491365034
Garcia Meza Tejada,2.0,2.0,7.0,0,2.0,1,1932,1,3.0,6,1.0,1,1.0,1980,7.0,3.7439190942181027,3.6127838567197355,48,1.04588047666961,-0.0048780487804878
Torrelio Villa,2.0,2.0,12.0,0,2.0,1,1933,1,3.0,16,1.0,0,,1981,7.0,3.7514503239378945,3.6085260335771943,48,0.9527916384320008,-0.0600985221674876
Vildoso Calderon,2.0,1.0,5.0,0,6.0,1,1937,1,1.0,0,0.0,0,,1982,7.0,3.7587177027107783,3.5816083660320577,45,0.2217704675660691,-0.0605345911949685
Siles Zuazo,2.0,1.0,5.0,2,6.0,1,1914,1,1.0,0,0.0,1,1.0,1982,7.0,3.773415966880179,3.5816083660320577,68,2.822782124205151,-0.0296995108315863
Paz Estenssoro,1.0,1.0,5.0,2,6.0,1,1907,0,1.0,0,0.0,1,1.0,1985,7.0,3.80774705001331,3.541079767776629,78,4.000082137210209,-0.0039125431530494
Paz Zamora,1.0,1.0,5.0,0,6.0,1,1939,0,1.0,0,0.0,0,,1989,7.0,3.848456572341076,3.5324995860946626,50,4.000082137210209,0.015391690140845
Gonzalo Sanchez de Lozada,1.0,1.0,5.0,0,6.0,1,1930,0,1.0,0,0.0,0,,1993,7.0,3.8862170334269277,3.564698534538456,63,4.000082137210209,0.0223015205620593
Banzer Suarez,1.0,5.0,5.0,1,1.0,1,1926,0,2.1,0,-777.0,0,,1997,7.0,3.9225930220894822,3.6106109721962873,71,4.002820044217198,0.0042629239944063
Jorge Quiroga Ramirez,1.0,1.0,5.0,0,6.0,1,1960,0,1.0,0,0.0,0,,2001,7.0,3.9315843773991066,3.6197705210115974,41,0.9965981505438168,0.006543442772249
Gonzalo Sanchez de Lozada,1.0,1.0,5.0,1,2.0,1,1930,0,1.0,0,1.0,0,,2002,7.0,3.940469865499844,3.6226030449447735,72,1.1909895480400008,0.0043657296233502
Carlos Mesa,1.0,1.0,5.0,0,6.0,1,1953,0,1.0,0,0.0,0,,2003,7.0,3.957748230334345,3.626378610299834,50,1.645482111200093,0.0254085426283382
Enrique Rodriguez,1.0,1.0,5.0,0,6.0,1,1956,0,1.0,0,0.0,0,,2005,7.0,3.9661281168067,3.647905735674216,49,0.6215048905863912,0.030718519498486
Juan Morales,1.0,7.0,15.0,0,8.0,1,1959,0,-888.0,-888,-888.0,0,,2006,7.0,4.033459221421466,3.661045815003176,47,9.938602435368283,0.0353149790058809
F.  Errazuriz Zanartu,1.0,1.0,5.0,0,6.0,1,1825,0,1.0,0,0.0,1,0.0,1871,10.0,3.3287872003545345,3.2638726768652235,46,5.002156101768003,0.0137981118373275
Pinto,1.0,1.0,5.0,0,6.0,1,1825,0,1.0,0,0.0,0,,1876,10.0,3.3613500243522663,3.2984163800612945,51,4.999418194761015,0.0503018108651911
Santa Maria,1.0,1.0,5.0,0,6.0,1,1825,0,1.0,0,0.0,0,,1881,10.0,3.3925210899319325,3.3958503760187813,56,4.999418194761015,0.0110128617363344
Balmaceda,1.0,2.0,14.0,0,2.0,1,1840,0,3.0,-999,1.0,0,,1886,10.0,3.4220971631317103,3.4191293077419758,46,4.941922147614256,0.0314666666666666
J. Montt-Alvarez,2.0,1.0,5.0,0,6.0,1,1845,1,1.0,0,0.0,0,,1891,10.0,3.4499409887733377,3.4825877695267677,46,5.051438427893797,0.0187074829931972
F. Errazuriz Echaurren,1.0,5.0,5.0,0,1.0,1,1850,0,2.1,0,-777.0,1,1.0,1896,10.0,3.4762517960070336,3.5287881917748964,46,4.613373306775635,0.0021899970405445
A. Zanartu Zanartu,1.0,1.0,5.0,0,1.0,1,1847,0,1.0,0,-777.0,0,,1901,10.0,3.481299273332856,3.5335178620169674,54,0.2984318637617473,0.0550351288056205
Riesco Errazuriz,1.0,1.0,5.0,0,6.0,1,1854,0,1.0,0,0.0,0,,1901,10.0,3.501333178645566,3.5335178620169674,47,5.0842933119776585,0.0122950819672131
P. Montt,1.0,4.0,5.0,0,1.0,1,1848,0,2.0,0,-777.0,0,,1906,10.0,3.5207454715194824,3.5644293269979834,58,3.909731205979589,0.0556842966194111
Albano,1.0,4.0,5.0,0,1.0,1,1845,0,2.0,0,-777.0,0,,1910,10.0,3.525563058270067,3.651762447380111,65,0.0574960471467586,-0.0008918617614269
Figueroa Larrain,1.0,1.0,5.0,0,6.0,1,1866,0,1.0,0,0.0,0,,1910,10.0,3.525563058270067,3.651762447380111,44,1.0321909416346673,-0.0004459308807134
Lucco,1.0,1.0,5.0,0,6.0,1,1835,0,1.0,0,0.0,0,,1911,10.0,3.5451833682154064,3.6513749439130434,76,4.262921209881107,-0.0298147734880607
Sanfuentes,1.0,1.0,5.0,0,6.0,1,1858,0,1.0,0,0.0,0,,1915,10.0,3.570893036218392,3.5812668052736707,57,5.002156101768003,0.0190138998164175
Alessandri y Palma,1.0,2.0,7.0,0,2.0,1,1868,0,3.0,6,1.0,1,0.0,1920,10.0,3.592953571547866,3.6281845080734128,52,3.709863994469428,0.03125
Altamirano,2.0,2.0,7.0,0,3.0,1,1867,1,3.0,6,2.0,0,,1924,10.0,3.598790506763115,3.6793370305207937,57,0.3750932599574255,0.0259468508056077
Ibanez del Campo,2.0,1.0,5.0,0,6.0,1,1877,1,1.0,0,0.0,0,,1925,10.0,3.6047658847038875,3.6904618932461783,48,0.1560606993983449,-0.0409953089944932
Alessandri y Palma,1.0,1.0,5.0,1,2.0,1,1868,0,1.0,0,1.0,1,0.0,1925,10.0,3.6047658847038875,3.6904618932461783,57,0.5311539593557705,-0.0409953089944932
Barros Borgono,1.0,1.0,5.0,0,6.0,1,1858,0,1.0,0,0.0,0,,1925,10.0,3.6047658847038875,3.6904618932461783,67,0.2272462815800461,-0.0409953089944932
Figueroa Larrain,2.0,2.0,7.0,1,2.0,1,1866,1,3.0,6,1.0,0,,1925,10.0,3.610766594773271,3.6904618932461783,59,1.2922921072985756,-0.0366102386294105
Ibanez del Campo,2.0,1.0,5.0,1,2.0,1,1877,1,1.0,0,1.0,0,,1927,10.0,3.636688447953283,3.6574383227029625,50,4.295776093964968,-0.028169014084507
Opazo Letelier,1.0,1.0,5.0,0,6.0,1,1876,0,1.0,0,0.0,0,,1931,10.0,3.643551368562945,3.591509808994654,55,0.0027379070069885,-0.2443647540983606
Montero Rodriquez,1.0,1.0,5.0,0,6.0,1,1878,0,1.0,0,0.0,0,,1931,10.0,3.643551368562945,3.591509808994654,53,0.0547581401397701,-0.2443647540983606
Trucco Franzani,1.0,1.0,5.0,0,6.0,1,1875,0,1.0,0,0.0,0,,1931,10.0,3.643551368562945,3.591509808994654,56,0.2464116306289656,-0.2443647540983606
Montero Rodriquez,1.0,2.0,7.0,1,2.0,1,1878,0,3.0,6,1.0,0,,1931,10.0,3.643551368562945,3.591509808994654,53,0.5530572154116785,-0.2443647540983606
Davila,2.0,2.0,12.0,0,2.0,1,1887,1,3.0,16,1.0,0,,1932,10.0,3.650598898172657,3.469822015978163,45,0.0191653490489195,0.2264406779661016
Grove Vallejo,2.0,2.0,7.0,0,3.0,1,1878,1,3.0,6,2.0,0,,1932,10.0,3.650598898172657,3.469822015978163,54,0.0136895350349425,0.2264406779661016
Davila,2.0,2.0,7.0,1,2.0,1,1887,1,3.0,6,1.0,0,,1932,10.0,3.650598898172657,3.469822015978163,45,0.2409358166149886,0.2264406779661016
Blanche,2.0,1.0,5.0,0,6.0,1,1879,1,1.0,0,0.0,0,,1932,10.0,3.650598898172657,3.469822015978163,53,0.0520202331327816,0.2264406779661016
Ovandel Urrutia,1.0,1.0,5.0,0,6.0,1,1874,0,1.0,0,0.0,0,,1932,10.0,3.650598898172657,3.469822015978163,58,0.2299841885870346,0.2264406779661016
Alessandri y Palma,1.0,1.0,5.0,2,2.0,1,1868,0,1.0,0,1.0,1,0.0,1932,10.0,3.687974620034556,3.469822015978163,64,5.996016345304832,0.119774011299435
Aguirre Cerda,1.0,4.0,5.0,0,1.0,1,1879,0,2.0,0,-777.0,0,,1938,10.0,3.711891549880579,3.705007959333336,59,2.921346776456738,0.0013806706114398
Mendez Arancibia,1.0,1.0,5.0,0,6.0,1,1884,0,1.0,0,0.0,0,,1941,10.0,3.719993826367604,3.706803097037338,57,0.3477141898875405,0.0137497544686702
Rios Morales,1.0,5.0,5.0,0,1.0,1,1888,0,2.1,0,-777.0,0,,1942,10.0,3.752509400788843,3.7127338590699517,54,3.79747701869306,0.0366692501453206
Duhalde Vasquez,1.0,1.0,5.0,0,6.0,1,1888,0,1.0,0,0.0,0,,1946,10.0,3.760497875226527,3.7721749608246142,58,0.5421055873837245,-0.1235214599526867
Bielech,1.0,1.0,5.0,0,6.0,1,1895,0,1.0,0,0.0,0,,1946,10.0,3.760497875226527,3.7721749608246142,51,0.0930888382376092,-0.1235214599526867
Duhalde Vasquez,1.0,1.0,5.0,1,6.0,1,1888,0,1.0,0,0.0,0,,1946,10.0,3.760497875226527,3.7721749608246142,58,0.1122541872865288,-0.1235214599526867
Iribarren,1.0,1.0,5.0,0,6.0,1,1885,0,1.0,0,0.0,0,,1946,10.0,3.760497875226527,3.7721749608246142,61,0.0465444191188046,-0.1235214599526867
Gonzalez Videla,1.0,1.0,5.0,0,6.0,1,1898,0,1.0,0,0.0,0,,1946,10.0,3.80465857085865,3.7721749608246142,48,6.001492159318809,0.0080625694008593
Ibanez Campo,1.0,1.0,5.0,1,6.0,1,1877,0,1.0,0,0.0,0,,1952,10.0,3.858524144478387,3.7960189693471493,75,5.99875425231182,0.0188206440605672
Alessandri Rodriguez,1.0,1.0,5.0,0,6.0,1,1896,0,1.0,0,0.0,1,1.0,1958,10.0,3.920667054456207,3.84248442441157,62,6.001492159318809,0.0074323491972241
Frei Montalva,1.0,1.0,5.0,0,6.0,1,1911,0,1.0,0,0.0,1,0.0,1964,10.0,3.9716727498166415,3.864511081058392,53,5.99875425231182,0.0199225865209471
