leader,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,Polity,pop,begin_gdppc,age,tenure,growth_rate
Bowell,1.0,1.0,5.0,0,6.0,1,1823,0,1.0,0,0.0,0,,1894,10.0,3.717504074764202,3.586249638866042,71,1.3607397824732883,-0.0272232304900181
Tupper,1.0,1.0,5.0,0,6.0,1,1821,0,1.0,0,0.0,0,,1896,10.0,3.721728198572788,3.561935763313781,75,0.194391397496184,0.0978886756238004
Laurier,1.0,1.0,5.0,0,6.0,1,1841,0,1.0,0,0.0,0,,1896,10.0,3.869818207979328,3.561935763313781,55,15.24466621491201,0.0525774609267891
Borden,1.0,5.0,5.0,0,6.0,1,1854,0,2.1,0,0.0,0,,1911,10.0,3.944383957640844,3.8270460170047342,57,8.668213584125615,-0.0092827004219409
Meighen,1.0,1.0,5.0,0,6.0,1,1874,0,1.0,0,0.0,0,,1920,10.0,3.9555915504057246,3.7891574919114395,46,1.4702560627528285,-0.0652421189470263
King,1.0,1.0,5.0,0,6.0,1,1874,0,1.0,0,0.0,1,1.0,1921,10.0,3.9873533887357935,3.728434950974255,47,4.49564330547513,0.0679125397122033
Meighen,1.0,1.0,5.0,1,6.0,1,1874,0,1.0,0,0.0,0,,1926,10.0,3.995854479874566,3.8553979966540686,52,0.2409358166149886,0.0778459821428572
King,1.0,1.0,5.0,1,6.0,1,1874,0,1.0,0,0.0,1,1.0,1926,10.0,4.020692678682028,3.8553979966540686,52,3.8659246938677727,0.0174734933035714
Bennett,1.0,1.0,5.0,0,6.0,1,1870,0,1.0,0,0.0,0,,1930,10.0,4.046729222266487,3.8847387377696316,60,5.21023703429913,-0.0297952796974833
King,1.0,5.0,5.0,2,6.0,1,1874,0,2.1,0,0.0,1,1.0,1935,10.0,4.119915410257991,3.7992026563005252,61,13.065292237349158,0.0562877103842489
St. Laurent,1.0,1.0,5.0,0,6.0,1,1882,0,1.0,0,0.0,0,,1948,10.0,4.230708245478969,4.051576958472539,66,8.597028001943913,0.0242528293323071
Diefenbaker,1.0,1.0,5.0,0,6.0,1,1895,0,1.0,0,0.0,0,,1957,10.0,4.286520261888067,4.137322456100344,62,5.8344798318925095,0.0185752119930996
Pearson,1.0,1.0,5.0,0,6.0,1,1897,0,1.0,0,0.0,0,,1963,10.0,4.325168663869748,4.183212883294251,66,4.996680287754026,0.039992130115425
Pierre Trudeau,1.0,1.0,5.0,0,6.0,1,1919,0,1.0,0,0.0,1,0.0,1968,10.0,4.385193229402895,4.262379888077364,49,11.121378262387315,0.0340584066604725
Clark,1.0,1.0,5.0,0,6.0,1,1939,0,1.0,0,0.0,0,,1979,10.0,4.390816807536294,4.411198673955554,40,0.7474486129078626,0.0003491755577109
Pierre Trudeau,1.0,1.0,5.0,1,6.0,1,1919,0,1.0,0,0.0,1,0.0,1980,10.0,4.409963539778491,4.411350292504278,61,4.325893071041842,0.0081600992863791
Turner,1.0,1.0,5.0,0,6.0,1,1929,0,1.0,0,0.0,0,,1984,10.0,4.413996758553837,4.428717783203831,55,0.2162946535520921,0.0443061559099717
Mulroney,1.0,1.0,5.0,0,6.0,1,1939,0,1.0,0,0.0,0,,1984,10.0,4.459625387795905,4.428717783203831,45,8.76951614338419,0.0116823769066428
Kim Campbell,1.0,1.0,5.0,0,6.0,0,1947,0,1.0,0,0.0,0,,1993,10.0,4.464284160599583,4.472135628561134,46,0.361403724922483,0.0366937762786157
Chretien,1.0,1.0,5.0,0,6.0,1,1939,0,1.0,0,0.0,0,,1993,10.0,4.5022139142885065,4.472135628561134,54,10.102876855787594,0.0272884497011571
Paul Martin,1.0,1.0,5.0,0,6.0,1,1938,0,1.0,0,0.0,0,,2003,10.0,4.514756315595125,4.586136753796657,65,2.154732814499956,0.0232293834671889
Harper,1.0,1.0,5.0,0,9.0,1,1959,0,1.0,0,-999.0,0,,2006,10.0,4.554886104203687,4.615393938678409,47,9.74147313086511,0.005750338484604
Justin Trudeau,1.0,7.0,15.0,0,9.0,1,1971,0,-888.0,0,-999.0,1,1.0,2015,10.0,4.55941496548521,4.639675704813059,44,0.1560606993983449,0.002888649441757
Palma,1.0,2.0,14.0,0,6.0,1,1835,0,3.0,-999,0.0,0,,1902,-5.0,3.296445794206396,3.225309281725863,67,4.358747955125704,0.0277380952380952
Gomez,1.0,1.0,5.0,0,6.0,1,1858,0,1.0,0,0.0,1,0.0,1909,-5.0,3.3857849588433355,3.3157604906657347,51,4.306727721992923,0.0049299178347027
Menocal,1.0,1.0,5.0,0,2.0,1,1868,0,1.0,0,1.0,0,,1913,-5.0,3.488973524726508,3.326335860928751,45,8.000164274420419,0.0095387840670859
Zyas y Alfonso,1.0,1.0,5.0,0,6.0,1,1861,0,1.0,0,0.0,0,,1921,-5.0,3.535547279176668,3.362105319293773,60,4.000082137210209,0.0224152910512597
Machado Morales,1.0,2.0,7.0,0,2.0,1,1871,0,3.0,6,1.0,0,,1925,-5.0,3.6085260335771943,3.4082399653118496,54,8.230148463007454,-0.0437934027777777
de Cespedes,2.0,2.0,7.0,0,6.0,1,1871,1,3.0,6,0.0,0,,1933,-5.0,3.616685520895512,3.190611797813605,62,0.0657097681677241,0.0831721470019342
Grau San Martin,2.0,2.0,12.0,0,2.0,1,1882,1,3.0,16,1.0,0,,1933,-5.0,3.616685520895512,3.190611797813605,51,0.3477141898875405,0.0831721470019342
Hevia,2.0,2.0,12.0,0,6.0,1,1900,1,3.0,16,0.0,0,,1934,-5.0,3.625415352154408,3.225309281725863,34,0.0082137210209655,0.0767857142857142
Mendieta,2.0,1.0,5.0,0,6.0,1,1873,1,1.0,0,0.0,0,,1934,-5.0,3.625415352154408,3.225309281725863,61,1.897369555843036,0.0383928571428571
Barnet,1.0,1.0,5.0,0,6.0,1,1864,0,1.0,0,0.0,0,,1935,-5.0,3.632356046239073,3.257438566859814,71,0.4380651211181612,0.0574903261470425
Gomez y Arias,1.0,1.0,5.0,0,6.0,1,1889,0,1.0,0,0.0,1,1.0,1936,-5.0,3.639187559935754,3.281714970027296,47,0.6078153555514487,0.0674333507579718
Laredo Bru,1.0,1.0,5.0,0,6.0,1,1875,0,1.0,0,0.0,0,,1936,-5.0,3.6595359071542166,3.281714970027296,61,3.783787483658117,0.0203868269733403
Batista,1.0,1.0,5.0,0,2.0,1,1901,0,1.0,0,1.0,0,,1940,-5.0,3.6856521841155243,3.3157604906657347,39,4.000082137210209,0.0199130014499758
Grau San Martin,1.0,1.0,5.0,1,2.0,1,1882,0,1.0,0,1.0,0,,1944,-5.0,3.7216457662897464,3.3569814009931314,62,4.000082137210209,0.0203956043956043
Prio Socarres,1.0,2.0,7.0,0,2.0,1,1903,0,3.0,6,1.0,0,,1948,-5.0,3.778729923996112,3.3991543339582164,45,3.414170037714669,0.0336059034702831
Batista,2.0,2.0,11.0,1,2.0,1,1901,1,3.0,4,1.0,0,,1952,-5.0,3.8389120274059985,3.4539295920577286,51,6.811912633387407,0.0081374321880651
Castro,2.0,5.0,5.0,0,6.0,1,1927,1,2.1,0,0.0,1,0.0,1959,-5.0,4.051461244324184,3.4779889762508893,32,49.145430775443714,0.0199527205588822
Raul Castro,1.0,7.0,15.0,0,8.0,1,1931,0,-888.0,-888,-888.0,1,,2008,-5.0,4.049760551762476,3.77850533829153,77,7.849579389036052,0.0392202204438616
Balaguer,2.0,2.0,7.0,0,2.0,1,1907,1,3.0,6,1.0,0,,1961,7.0,3.5382511604407028,3.2931414834509307,54,0.6351944256213338,0.1313645621181263
Echavarria,2.0,2.0,7.0,0,3.0,1,1925,1,3.0,6,2.0,0,,1962,7.0,3.552572952841531,3.346744054604849,37,0.005475814013977,0.0310531053105309
Filiberto Bonnelly,1.0,1.0,5.0,0,6.0,1,1904,0,1.0,0,0.0,0,,1962,7.0,3.552572952841531,3.346744054604849,58,1.106114430823357,0.0155265526552654
Bosch,1.0,2.0,7.0,0,2.0,1,1909,0,3.0,6,1.0,0,,1963,7.0,3.566673255396847,3.3600250891893975,54,0.5749604714675866,0.0323003055434307
de los Santos,2.0,1.0,5.0,0,6.0,1,1903,1,1.0,0,0.0,0,,1963,7.0,3.566673255396847,3.3600250891893975,60,0.2381979096080001,0.0323003055434307
Cabral,2.0,2.0,7.0,0,6.0,1,1923,1,3.0,6,0.0,0,,1963,7.0,3.5804552049044163,3.3600250891893975,40,1.3415744334243689,-0.061981667394151
Molina Urena,2.0,2.0,7.0,0,2.0,1,1921,1,3.0,6,1.0,0,,1965,7.0,3.593993988002444,3.3025473724874854,44,0.005475814013977,0.0991529646238167
Bartolome Benoit,2.0,1.0,5.0,0,6.0,1,1921,1,1.0,0,0.0,0,,1965,7.0,3.593993988002444,3.3025473724874854,44,0.027379070069885,0.0991529646238167
Berreras,2.0,1.0,5.0,0,6.0,1,1920,1,1.0,0,0.0,0,,1965,7.0,3.593993988002444,3.3025473724874854,45,0.3148593058036784,0.0991529646238167
Godoy,1.0,1.0,5.0,0,6.0,1,1921,0,1.0,0,0.0,0,,1965,7.0,3.593993988002444,3.3025473724874854,44,0.8241100091035408,0.0991529646238167
Balaguer,1.0,1.0,5.0,1,6.0,1,1907,0,1.0,0,0.0,0,,1966,7.0,3.7349044315732627,3.343605508104172,59,12.000246411630629,0.0480159006904247
Guzman Fernandez,1.0,6.0,5.0,0,1.0,1,1911,0,2.2,0,-777.0,0,,1978,7.0,3.7759015788916743,3.5542468081661105,67,4.008295858231175,0.0135640524699971
Majluta Azar,1.0,1.0,5.0,0,6.0,1,1934,0,1.0,0,0.0,0,,1982,7.0,3.785756799962643,3.582744965691277,48,0.1177300013005058,0.0206481965499216
Blanco,1.0,1.0,5.0,0,6.0,1,1926,0,1.0,0,0.0,0,,1982,7.0,3.8140477209955996,3.582744965691277,56,4.000082137210209,-0.007527443805541
Balaguer,1.0,1.0,5.0,2,6.0,1,1907,0,1.0,0,0.0,0,,1986,7.0,3.8924154975519554,3.5660837841679958,79,10.001574296529018,0.0374442397906276
Fernandez Reyna,1.0,1.0,5.0,0,6.0,1,1953,0,1.0,0,0.0,0,,1996,7.0,3.919106866676382,3.715883612187524,43,4.000082137210209,0.0611521375911583
Hipolito Mejia,1.0,1.0,5.0,0,6.0,1,1941,0,1.0,0,0.0,0,,2000,7.0,3.9445521555346152,3.8317472015127345,59,3.997344230203221,0.0240628912969093
Fernandez Reyna,1.0,1.0,5.0,1,6.0,1,1953,0,1.0,0,0.0,0,,2004,7.0,3.988657872768378,3.871657427956951,51,8.000164274420419,0.0657959256923791
Medina,1.0,7.0,15.0,0,8.0,1,1951,0,-888.0,-888,-888.0,0,,2012,7.0,4.003117804916354,4.073645045513152,61,3.3731014326098414,0.0403865631330182
Bustamante,1.0,1.0,5.0,0,6.0,1,1884,0,1.0,0,0.0,0,,1962,9.0,3.269768775707311,3.637389650129212,78,4.547663538607911,0.0335100253514634
Sangster,1.0,4.0,5.0,0,1.0,1,1911,0,2.0,0,-777.0,0,,1967,9.0,3.277260034128749,3.704665185454529,56,0.1314195363354483,0.0333596525858665
Shearer,1.0,1.0,5.0,0,6.0,1,1923,0,1.0,0,0.0,0,,1967,9.0,3.300512007859452,3.704665185454529,44,4.892639821488463,0.0427951046190288
Manley,1.0,1.0,5.0,0,6.0,1,1924,0,1.0,0,0.0,0,,1972,9.0,3.3480716836467264,3.788875115775417,48,8.668213584125615,-0.0212285456187895
Seaga,1.0,1.0,5.0,0,6.0,1,1930,0,1.0,0,0.0,0,,1980,9.0,3.368754778038393,3.6967930850817443,50,8.276692882126259,0.0172640982691234
Manley,1.0,5.0,5.0,1,6.0,1,1924,0,2.1,0,0.0,0,,1989,9.0,3.382632145499941,3.759516759462188,65,3.1321656159948525,0.0236616605775922
Patterson,1.0,1.0,5.0,0,6.0,1,1935,0,1.0,0,0.0,0,,1992,9.0,3.432959152944668,3.798790708719479,57,13.99891852673224,0.01129476466872
Simpson-Miller,1.0,1.0,5.0,0,6.0,0,1945,0,1.0,0,0.0,0,,2006,9.0,3.43267569672938,3.8625467848892376,61,1.451090713703909,0.0079053263685149
Golding,1.0,1.0,5.0,0,6.0,1,1947,0,1.0,0,0.0,0,,2007,9.0,3.430001880447047,3.8693595478223073,60,4.115074231503727,-0.0070567983068335
