idacr,yrend,gdppc,pop
ALB,1967,2876.0,1984.06
ALB,1968,2979.0,2038.698
ALB,1969,3080.0,2100.263
ALB,1970,3194.0,2156.612
ALB,1971,3322.0,2208.719
ALB,1972,3451.0,2263.554
ALB,1973,3623.0,2295.691
ALB,1974,3637.0,2347.924
ALB,1975,3649.0,2401.108
ALB,1976,3665.0,2454.824
ALB,1977,3681.0,2509.048
ALB,1978,3696.0,2563.376
ALB,1979,3716.0,2617.679
ALB,1980,3741.0,2671.412
ALB,1981,3762.0,2724.272
ALB,1982,3783.0,2780.097
ALB,1983,3805.0,2837.315
ALB,1984,3826.0,2895.998
ALB,1985,3846.0,2956.697
ALB,1986,3870.0,3015.438
ALB,1987,3894.0,3075.321
ALB,1988,3920.0,3136.843
ALB,1989,3948.0,3195.8
ALB,1990,3983.0,3250.778
ALB,1991,2942.1006,3186.785783
ALB,1992,2841.7652,3077.552108
ALB,1993,3137.0239,3071.81578
ALB,1994,3399.7102,3116.773726
ALB,1995,3666.6506,3163.850488
ALB,1996,3965.6853,3209.377459
ALB,1997,3526.9856,3231.231807
ALB,1998,3873.3732,3218.566003
ALB,1999,4432.0426,3193.078112
ALB,2000,4808.4796,3164.048845
ALB,2001,5285.8091,3133.644101
ALB,2002,5608.9623,3103.616036
ALB,2003,6004.6452,3075.201877
ALB,2004,6419.8704,3051.133542
ALB,2005,6858.467,3029.98847
ALB,2006,7347.3301,3011.200643
ALB,2007,7866.1577,2996.971023
ALB,2008,8522.1298,2989.503577
ALB,2009,8859.4716,2987.919726
ALB,2010,9222.9728,2992.339684
ALB,2011,9484.0,3000.0686
ALB,2012,9592.0,3008.275376
ALB,2013,9660.0,3016.836791
ALB,2014,9808.0,3025.656671
ALB,2015,10032.0,3034.742029
ALB,2016,10342.0,3044.074833
ALB,2017,10702.1201,3053.484775
ALB,2018,11104.1665,3062.734429
ARE,1950,25182.0,71.52
ARE,1951,26634.0,73.298
ARE,1952,27490.0,75.273
ARE,1953,29358.0,77.48
ARE,1954,31695.0,79.947
ARE,1955,31374.0,82.715
ARE,1956,32481.0,85.831
ARE,1957,32329.0,89.353
