obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,yrend,age,tenure,Country,Polity datasets IV category,end_gdppc,pop
USA-1869,81dcc176-1e42-11e4-b4cd-db5882bf8def,2,USA,Grant,1869-03-04,1869-03-04,1877-03-04,1877-03-04,Regular,Regular,Regular,0,OK,M,1822,1885,,1885-07-23,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ulysses-5FS.-5FGrant&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=x7yRI4mbwG8b0j8c_AwqAahtkPcCfIY2uH8tdRaReBw&e=,0,1.0,0,0.0,,,1869,1877,47,8.000164274420419, United States,Democracy,5098.6896,47325.0
USA-1877,81dcc177-1e42-11e4-b4cd-db5882bf8def,2,USA,Hayes,1877-03-04,1877-03-04,1881-03-04,1881-03-04,Regular,Regular,Regular,0,OK,M,1822,1893,,1893-01-17,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Rutherford-5FB.-5FHayes&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8oshcxB52W-Pg-2a6AvRVJEYMU-S-RG55-369eJ-PyY&e=,0,1.0,0,0.0,,,1877,1881,55,4.000082137210209, United States,Democracy,6317.4384,51743.0
USA-1881-2,81dcf24b-1e42-11e4-b4cd-db5882bf8def,2,USA,Arthur,1881-09-19,1881-09-19,1885-03-04,1885-03-04,Regular,Regular,Regular,0,OK,M,1829,1886,,1886-11-18,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Chester-5FA.-5FArthur&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=XiglK4IJ3ZCC1kR4Hmb8eVB-V7A0tQprCtTKzOl42YM&e=,0,1.0,0,0.0,,,1881,1885,52,3.455238642819497, United States,Democracy,6424.1432,56879.0
USA-1885,34fb1558-3bbd-11e5-afeb-eb6f07f9fec7,2,USA,Cleveland,1885-03-04,1885-03-04,1889-03-04,1889-03-04,Regular,Regular,Regular,0,OK,M,1837,1908,,1908-06-24,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Grover-5FCleveland&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=BH6RahZV58hS1fIGz1muHnQkbAirSz4Yy2wc6chejsQ&e=,0,1.0,0,0.0,,,1885,1889,48,4.000082137210209, United States,Democracy,6705.6896,62016.0
USA-1889,81dcf24d-1e42-11e4-b4cd-db5882bf8def,2,USA,Harrison,1889-03-04,1889-03-04,1893-03-04,1893-03-04,Regular,Regular,Regular,0,OK,M,1833,1901,,1901-03-13,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Benjamin-5FHarrison&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=MA-TUrYNLJuZ9PTyDnsCkyBUtUyUkXWBHX7_p3f3pnA&e=,0,1.0,0,0.0,,,1889,1893,56,4.000082137210209, United States,Democracy,6834.2496,67231.0
USA-1893,34fb1558-3bbd-11e5-afeb-eb6f07f9fec7,2,USA,Cleveland,1893-03-04,1893-03-04,1897-03-04,1897-03-04,Regular,Regular,Regular,1,OK,M,1837,1908,,1908-06-24,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Grover-5FCleveland&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=BH6RahZV58hS1fIGz1muHnQkbAirSz4Yy2wc6chejsQ&e=,0,1.0,0,0.0,,,1893,1897,56,4.000082137210209, United States,Democracy,7406.3416,72471.0
USA-1897,81dcf24e-1e42-11e4-b4cd-db5882bf8def,2,USA,McKinley,1897-03-04,1897-03-04,1901-09-14,1901-09-14,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1843,1901,,1901-09-14,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_William-5FMcKinley&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=c1fTbGMfG49MP3oJebg3Hp83_F7aiBUUfKgnhRd8AWs&e=,0,3.0,11,3.0,,,1897,1901,54,4.528498189558992, United States,Democracy,8770.3632,77888.0
USA-1901,81dd231e-1e42-11e4-b4cd-db5882bf8def,2,USA,"Roosevelt, T.",1901-09-14,1901-09-14,1909-03-04,1909-03-04,Regular,Regular,Regular,0,OK,M,1858,1919,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Theodore-5FRoosevelt&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=mdUxrnAfyEPLl3hgYW-m-YrEL1hVsBHltrXf6_VHzrA&e=,0,1.0,0,0.0,"Uncle (distant) of Roosevelt, F.%81dd53f3-1e42-11e4-b4cd-db5882bf8def",0.0,1901,1909,43,7.469010315064649, United States,Democracy,9798.1182,90845.0
USA-1909,81dd231f-1e42-11e4-b4cd-db5882bf8def,2,USA,Taft,1909-03-04,1909-03-04,1913-03-04,1913-03-04,Regular,Regular,Regular,0,OK,M,1857,1930,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_William-5FHoward-5FTaft&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=bhEfrjiKenGUoUgvh3M4oCxkX9bJoHnDemF4c6OtEtE&e=,0,1.0,0,0.0,,,1909,1913,52,4.000082137210209, United States,Democracy,10107.9694,97606.0
USA-1913,81dd2320-1e42-11e4-b4cd-db5882bf8def,2,USA,Wilson,1913-03-04,1913-03-04,1921-03-04,1921-03-04,Regular,Regular,Regular,0,OK,M,1856,1924,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Woodrow-5FWilson&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ClslkAGMxFPwxEqNwig9hoUm-6paj7k9nJQgfZTGBe0&e=,0,1.0,0,0.0,,,1913,1921,57,8.000164274420419, United States,Democracy,9674.8805,108964.0
USA-1921,81dd2321-1e42-11e4-b4cd-db5882bf8def,2,USA,Harding,1921-03-04,1921-03-04,1923-08-03,1923-08-03,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1865,1923,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Warren-5FG.-5FHarding&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=n19WCVJ00e6jAF9KgkqB1QA165ud9DQdOVE8YT4d3LE&e=,0,2.0,0,-777.0,,,1921,1923,56,2.414833980163864, United States,Democracy,11071.243,112387.0
USA-1923,81dd2322-1e42-11e4-b4cd-db5882bf8def,2,USA,Coolidge,1923-08-03,1923-08-03,1929-03-04,1929-03-04,Regular,Regular,Regular,0,OK,M,1872,1933,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Calvin-5FCoolidge&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=NOK4weNtqbdh5IqnE0L5KCW3Toiiym3Zad3PQTU1A-8&e=,0,1.0,0,0.0,,,1923,1929,51,5.585330294256556, United States,Democracy,11954.2353,122245.0
USA-1929,81dd53f2-1e42-11e4-b4cd-db5882bf8def,2,USA,Hoover,1929-03-04,1929-03-04,1933-03-04,1933-03-04,Regular,Regular,Regular,0,OK,M,1874,1964,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Herbert-5FHoover&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=W0eBFvC2m3N346qhf_r9iGv5N_TNz7Zg6JxS7NQ5y7k&e=,0,1.0,0,0.0,,,1929,1933,55,4.000082137210209, United States,Democracy,8048.2245,126180.0
USA-1933,81dd53f3-1e42-11e4-b4cd-db5882bf8def,2,USA,"Roosevelt, F.",1933-03-04,1933-03-04,1945-04-12,1945-04-12,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1882,1945,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Franklin-5FD.-5FRoosevelt&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=leTWvRisdM5Al2qrBj_GjPmFtyEZBnwk2iFJ1n4BAI8&e=,0,2.0,0,-777.0,"Nephew (distant) of Roosevelt, T.%81dd231e-1e42-11e4-b4cd-db5882bf8def",1.0,1933,1945,51,12.10702478490318, United States,Democracy,16477.5518,140474.0
USA-1945,81dd53f4-1e42-11e4-b4cd-db5882bf8def,2,USA,Truman,1945-04-12,1945-04-12,1953-01-20,1953-01-20,Regular,Regular,Regular,0,OK,M,1884,1972,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Harry-5FS.-5FTruman&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8lvMz1dVajkRMhTCrwHn4rz8eECIgC0MEzNUFYGVA4s&e=,0,1.0,0,0.0,,,1945,1953,61,7.775655899847361, United States,Democracy,16917.0,160184.0
USA-1953,81dd53f5-1e42-11e4-b4cd-db5882bf8def,2,USA,Eisenhower,1953-01-20,1953-01-20,1961-01-20,1961-01-20,Regular,Regular,Regular,0,OK,M,1890,1969,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Dwight-5FD.-5FEisenhower&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rbOQoIR9XqJmFi2S0wTaEXDdPmKH7drhnWtGndAuYug&e=,0,1.0,0,0.0,,,1953,1961,63,8.000164274420419, United States,Democracy,18175.0,183691.0
USA-1961,81dd53f6-1e42-11e4-b4cd-db5882bf8def,2,USA,Kennedy,1961-01-20,1961-01-20,1963-11-22,1963-11-22,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1917,1963,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_John-5FF.-5FKennedy&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=fz5b5YwDtYUHk4b8O09aRvlQy8YHM2GtYr6PPuqXASk&e=,0,3.0,11,3.0,,,1961,1963,44,2.836471659240094, United States,Democracy,19514.0,189242.0
USA-1963,81dd84c6-1e42-11e4-b4cd-db5882bf8def,2,USA,Johnson,1963-11-22,1963-11-22,1969-01-20,1969-01-20,Regular,Regular,Regular,0,OK,M,1908,1973,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Lyndon-5FB.-5FJohnson&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=qMRnItod8XC9Z7Sa982pUDwLoBi4BVk8uy8zud2q9ho&e=,0,1.0,0,0.0,,,1963,1969,55,5.163692615180326, United States,Democracy,24195.0,202677.0
USA-1969,81dd84c7-1e42-11e4-b4cd-db5882bf8def,2,USA,Nixon,1969-01-20,1969-01-20,1974-08-09,1974-08-09,Regular,Regular,Regular,0,OK,M,1913,1994,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Richard-5FNixon&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Oup_2LmC4QJUy7zu8ke76SIe_xdKi4GnqB2hGVHCmBc&e=,0,1.0,0,0.0,,,1969,1974,56,5.549737503165705, United States,Democracy,26286.0,213854.0
USA-1974,81dd84c8-1e42-11e4-b4cd-db5882bf8def,2,USA,Ford,1974-08-09,1974-08-09,1977-01-20,1977-01-20,Regular,Regular,Regular,0,OK,M,1913,2006,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Gerald-5FFord&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rKHx6vASUC4iuo25L7XbRY9u7foC16KAVPOeee6VzWE&e=,0,1.0,0,0.0,,,1974,1977,61,2.450426771254715, United States,Democracy,28001.0,220239.0
USA-1981,81dd84ca-1e42-11e4-b4cd-db5882bf8def,2,USA,Reagan,1981-01-20,1981-01-20,1989-01-20,1989-01-20,Regular,Regular,Regular,0,OK,M,1911,2004,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ronald-5FReagan&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=lkRsyOx2c3jHBdhtoz88j8z6MALbfv0cigW48DI3G54&e=,0,1.0,0,0.0,,,1981,1989,70,8.000164274420419, United States,Democracy,36756.0,247341.697
CAN-1873,81ddb59d-1e42-11e4-b4cd-db5882bf8def,20,CAN,Mackenzie,1873-11-07,1873-11-07,1878-10-17,1878-10-17,Regular,Regular,Regular,0,OK,M,1822,1892,,1892-04-17,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Alexander-5FMackenzie&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=k6r3Pw-62MkbXzBATsAYVx1IuxSDqmIJjem1sBmmCwM&e=,0,1.0,0,0.0,,,1873,1878,51,4.941922147614256, Canada,Democracy,2609.0,4244.0
CAN-1878,197110a8-3bbd-11e5-afeb-eb6f07f9fec7,20,CAN,Macdonald,1878-10-17,1878-10-17,1891-06-06,1891-06-06,Regular,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1815,1891,,1891-06-06,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_John-5FA.-5FMacdonald&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=48mzgFtirP2HSdJCXb_rKfRzyhmk-xDMOoOtUE502mo&e=,0,2.0,0,-777.0,,,1878,1891,63,12.63544083725196, Canada,Democracy,3840.0,4972.0
CAN-1891,81ddb59e-1e42-11e4-b4cd-db5882bf8def,20,CAN,Abbott,1891-06-16,1891-06-16,1892-12-05,1892-12-05,Regular,Regular,Regular,0,OK,M,1821,1893,,1893-10-30,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_John-5FAbbott&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=tUEQYgkxwyl5E0vwF5BABzdbSh2jlKuHVhC1SRmYCvw&e=,0,1.0,0,0.0,,,1891,1892,70,1.472993969759817, Canada,Democracy,3779.0,5022.0
CAN-1892,81dde678-1e42-11e4-b4cd-db5882bf8def,20,CAN,Thompson,1892-12-05,1892-12-05,1894-12-12,1894-12-12,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1845,1894,,,,0,2.0,0,-777.0,,,1892,1894,47,2.01783746415053, Canada,Democracy,3857.0,5121.0
CAN-1894,81dde679-1e42-11e4-b4cd-db5882bf8def,20,CAN,Bowell,1894-12-21,1894-12-21,1896-05-01,1896-05-01,Regular,Regular,Regular,0,OK,M,1823,1917,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Mackenzie-5FBowell&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=60PEb4noCXilyXVujuhdkkpnfQYWwm9wcV4KEfWb6jg&e=,0,1.0,0,0.0,,,1894,1896,71,1.360739782473288, Canada,Democracy,3647.0,5218.0
CAN-1896-2,81de4820-1e42-11e4-b4cd-db5882bf8def,20,CAN,Laurier,1896-07-11,1896-07-11,1911-10-10,1911-10-10,Regular,Regular,Regular,0,OK,M,1841,1919,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Wilfrid-5FLaurier&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=g09tst56QWN0KuNDYe_u8VrCyLuyc8gLksfx0KF9qDo&e=,0,1.0,0,0.0,,,1896,1911,55,15.24466621491201, Canada,Democracy,6715.0,7410.0
CAN-1911,81de4821-1e42-11e4-b4cd-db5882bf8def,20,CAN,Borden,1911-10-10,1911-10-10,1920-06-10,1920-06-10,Regular,Retired Due to Ill Health,Regular,0,OK,M,1854,1937,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Robert-5FBorden&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=3oDRQ0WFDLF-y9CZ9MpmZBulifIpPh6oUY9zPdR0D30&e=,0,2.099999904632568,0,0.0,,,1911,1920,57,8.668213584125615, Canada,Democracy,6154.0,8798.0
CAN-1920,81de4822-1e42-11e4-b4cd-db5882bf8def,20,CAN,Meighen,1920-07-10,1920-07-10,1921-12-29,1921-12-29,Regular,Regular,Regular,0,OK,M,1874,1960,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Arthur-5FMeighen&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=beEjK11YQvAxkxJNw0MD71hEGdO1cPM93XBAjOSu95M&e=,0,1.0,0,0.0,,,1920,1921,46,1.470256062752828, Canada,Democracy,5351.0,9028.0
CAN-1921,81de4823-1e42-11e4-b4cd-db5882bf8def,20,CAN,King,1921-12-29,1921-12-29,1926-06-28,1926-06-28,Regular,Regular,Regular,0,OK,M,1874,1951,,,,0,1.0,0,0.0,Father of Ramon Baez%81e1556e-1e42-11e4-b4cd-db5882bf8def,1.0,1921,1926,47,4.49564330547513, Canada,Democracy,7168.0,9713.0
CAN-1926-2,81de4823-1e42-11e4-b4cd-db5882bf8def,20,CAN,King,1926-09-25,1926-09-25,1930-08-07,1930-08-07,Regular,Regular,Regular,1,OK,M,1874,1951,,,,0,1.0,0,0.0,Father of Ramon Baez%81e1556e-1e42-11e4-b4cd-db5882bf8def,1.0,1926,1930,52,3.865924693867773, Canada,Democracy,7669.0,10488.0
CAN-1930,81de4824-1e42-11e4-b4cd-db5882bf8def,20,CAN,Bennett,1930-08-07,1930-08-07,1935-10-23,1935-10-23,Regular,Regular,Regular,0,OK,M,1870,1947,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_R.-5FB.-5FBennett&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=N7o5FG1J5XmgggL0nAT5JmcCC4EUqYULZEvFd0z-RGk&e=,0,1.0,0,0.0,,,1930,1935,60,5.21023703429913, Canada,Democracy,6298.0,11136.0
CAN-1935,81de4823-1e42-11e4-b4cd-db5882bf8def,20,CAN,King,1935-10-23,1935-10-23,1948-11-15,1948-11-15,Regular,Retired Due to Ill Health,Regular,2,OK,M,1874,1951,,,,0,2.099999904632568,0,0.0,Father of Ramon Baez%81e1556e-1e42-11e4-b4cd-db5882bf8def,1.0,1935,1948,61,13.06529223734916, Canada,Democracy,11261.0,13180.0
CAN-1948,81de78f4-1e42-11e4-b4cd-db5882bf8def,20,CAN,St. Laurent,1948-11-15,1948-11-15,1957-06-21,1957-06-21,Regular,Regular,Regular,0,OK,M,1882,1973,1882-02-01,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Louis-5FSt.-5FLaurent&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=1_JqIUI-cEV1iwLTvxoeZp0dBayilsdlMLGZCNNJUFg&e=,0,1.0,0,0.0,,,1948,1957,66,8.597028001943913, Canada,Democracy,13719.0,17010.154
CAN-1957,81de78f5-1e42-11e4-b4cd-db5882bf8def,20,CAN,Diefenbaker,1957-06-21,1957-06-21,1963-04-22,1963-04-22,Regular,Regular,Regular,0,OK,M,1895,1979,1895-09-18,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_John-5FDiefenbaker&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=6TYAB7L7Ufes-gYVer7NsjNfu7pTB-NX3P5lsZ8wF7M&e=,0,1.0,0,0.0,,,1957,1963,62,5.83447983189251, Canada,Democracy,15248.0,19342.841
CAN-1963,81de78f6-1e42-11e4-b4cd-db5882bf8def,20,CAN,Pearson,1963-04-22,1963-04-22,1968-04-20,1968-04-20,Regular,Regular,Regular,0,OK,M,1897,1972,1897-04-23,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Lester-5FB.-5FPearson&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=cweceAKDcxiJMyb-uwPUGfcmPYzaVQGdRXRqVDiZmJM&e=,0,1.0,0,0.0,,,1963,1968,66,4.996680287754026, Canada,Democracy,18297.0,21143.1
