obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,yrend,age,tenure,Country,Polity datasets IV category,end_gdppc,pop
ECU-1952,81f7a6c8-1e42-11e4-b4cd-db5882bf8def,130,ECU,Velasco Ibarra,1952-09-01,1952-09-01,1956-09-01,1956-09-01,Regular,Regular,Regular,2,Exile,M,1893,1979,1893-03-19,1979-03-30,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FMar-25C3-25ADa-5FVelasco-5FIbarra&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=bDwI9zyLoaqrrSlnHy9YoG3ABpPS2s-xsI3lxnG1MrE&e=,0,1.0,0,1.0,,,1952,1956,59,4.000082137210209, Ecuador,Anocracy,3381.0,3948.587
ECU-1956,81f80872-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ponce Enriquez,1956-09-01,1956-09-01,1960-09-01,1960-09-01,Regular,Regular,Regular,0,Exile,M,1912,1976,1912-01-31,,,0,1.0,0,1.0,,,1956,1960,44,4.000082137210209, Ecuador,Anocracy,3649.0,4415.956
ECU-1960,81f7a6c8-1e42-11e4-b4cd-db5882bf8def,130,ECU,Velasco Ibarra,1960-09-01,1960-09-01,1961-11-07,1961-11-07,Regular,Irregular,"Removed by Military, without Foreign Support",3,Exile,M,1893,1979,1893-03-19,1979-03-30,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FMar-25C3-25ADa-5FVelasco-5FIbarra&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=bDwI9zyLoaqrrSlnHy9YoG3ABpPS2s-xsI3lxnG1MrE&e=,0,3.0,6,1.0,,,1960,1961,67,1.182775827019035, Ecuador,Anocracy,3633.0,4546.197
ECU-1961,81f80873-1e42-11e4-b4cd-db5882bf8def,130,ECU,Arosemena Monroy,1961-11-07,1961-11-07,1963-07-11,1963-07-11,Irregular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1919,2004,,,,1,3.0,6,1.0,Son of Arosemana Tola%81f80870-1e42-11e4-b4cd-db5882bf8def,1.0,1961,1963,42,1.672861181269978, Ecuador,Anocracy,3698.0,4822.279
ECU-1963,81f83942-1e42-11e4-b4cd-db5882bf8def,130,ECU,Castro,1963-07-11,1963-07-11,1966-03-29,1966-03-29,Irregular,Irregular,"Popular Protest, without Foreign Support",0,Exile,M,1915,1984,,,,1,3.0,2,1.0,,,1963,1966,48,2.716003750932599, Ecuador,Anocracy,4074.0,5272.639
ECU-1966-2,81f83944-1e42-11e4-b4cd-db5882bf8def,130,ECU,Arosemena Gomez,1966-11-16,1966-11-16,1968-09-01,1968-09-01,Regular,Regular,Regular,0,OK,M,1925,1984,1925-07-19,1984-04-20,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Otto-5FArosemena&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Utzr8kFZ9ufPHiXsMoT5eZNtw_kxLZf3lIRqMSb_1X8&e=,0,1.0,0,0.0,,,1966,1968,41,1.793329089577473, Ecuador,Anocracy,4264.0,5596.925
ECU-1968,81f7a6c8-1e42-11e4-b4cd-db5882bf8def,130,ECU,Velasco Ibarra,1968-09-01,1968-09-01,1972-02-15,1972-02-15,Regular,Irregular,"Removed by Military, without Foreign Support",4,Exile,M,1893,1979,1893-03-19,1979-03-30,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FMar-25C3-25ADa-5FVelasco-5FIbarra&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=bDwI9zyLoaqrrSlnHy9YoG3ABpPS2s-xsI3lxnG1MrE&e=,0,3.0,6,1.0,,,1968,1972,75,3.455238642819497, Ecuador,Anocracy,4801.0,6298.651
ECU-1976,81f83946-1e42-11e4-b4cd-db5882bf8def,130,ECU,Poveda Burbano,1976-01-11,1976-01-11,1979-08-10,1979-08-10,Irregular,Regular,Regular,0,OK,M,1926,1990,,1990-06-07,,1,1.0,0,0.0,,,1976,1979,50,3.578444458133979, Ecuador,Anocracy,6472.0,7703.577
ECU-1979,81f83947-1e42-11e4-b4cd-db5882bf8def,130,ECU,Roldos Aquilers,1979-08-10,1979-08-10,1981-05-24,1981-05-24,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1940,1981,1940-11-05,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jaime-5FRold-25C3-25B3s-5FAguilera&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=tC3m3wQi4Zy1-xrsULa63CCvLUVf45gVGAaQsIWfJdY&e=,0,2.0,0,-777.0,,,1979,1981,39,1.787853275563495, Ecuador,Anocracy,6664.0,8141.078
ECU-1984,81f86a17-1e42-11e4-b4cd-db5882bf8def,130,ECU,Febres Cordaro,1984-08-10,1984-08-10,1988-08-10,1988-08-10,Regular,Regular,Regular,0,OK,M,1931,2008,1931-03-09,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Le-25C3-25B3n-5FFebres-5FCordero&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=w3wE88h8DKM_M0rBMTZVx-Rz69fTJUZ352JwxfYUZ1c&e=,0,1.0,0,0.0,,,1984,1988,53,4.000082137210209, Ecuador,Anocracy,6357.0,9794.122
