ccode,leader,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,numentry,numexit,yrbegin,yrend,country,end_gdppc,pop_x,begin_gdppc,pop_y,age,tenure,growth_rate,fties_range,growth_rate_normgroup,growth_rate_avggrp
0.0,Grant,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.06936416184971098,0.9541218637992831,0.0,0.99663675,0.039735099337748346,0.007194244604316547,United States,0.03033129735040727,0.03445520169313887,0.029688579432865538,0.02919867163833468,0.43478260869565216,0.14292104674569445,0.003933599330312455,1.0,4,5
0.0,Hayes,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.06936416184971098,0.956989247311828,0.0,0.99663675,0.09271523178807947,0.03597122302158273,United States,0.03816128567163812,0.03769297736628592,0.030700129463429406,0.03510526924604407,0.5507246376811594,0.061227913218519336,0.059756715448871914,1.0,4,4
0.0,Arthur,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.10982658959537572,0.9544802867383513,0.0,0.99663675,0.11920529801324503,0.06474820143884892,United States,0.03884682262381341,0.04145694655082264,0.038625331355781035,0.038391837033306044,0.5072463768115942,0.0501006486244688,0.00488837925149336,1.0,4,5
0.0,Cleveland,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.15606936416184972,0.9623655913978495,0.0,0.99663675,0.1456953642384106,0.09352517985611511,United States,0.04065564903979395,0.04522164859540308,0.039319204517242204,0.04221252787879665,0.4492753623188406,0.061227913218519336,0.010956348963382127,1.0,4,5
0.0,Harrison,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.1329479768786127,0.9598566308243728,0.0,0.99663675,0.17218543046357615,0.1223021582733813,United States,0.04148159717494488,0.049043513723393536,0.04115002647338672,0.04603396262826808,0.5652173913043478,0.061227913218519336,0.00479284636751869,1.0,4,5
0.0,Cleveland,0.0,0.0,0.2857142857142857,0.25,0.625,0.5,0.15606936416184972,0.9623655913978495,0.0,0.99663675,0.1986754966887417,0.1510791366906475,United States,0.04515706637636654,0.05288370035247695,0.041986018234183305,0.049913421888243464,0.5652173913043478,0.061227913218519336,0.020926959293782833,1.0,4,5
0.0,McKinley,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.1907514450867052,0.9598566308243728,0.0,0.9988789,0.2251655629139073,0.17985611510791366,United States,0.053920376090317954,0.05685360320929849,0.04570618156972811,0.05381147874773933,0.5362318840579711,0.0720196823976739,0.04066898281128558,1.0,4,5
0.0,"Roosevelt, T.",0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.2774566473988439,0.9663082437275986,0.0,0.99663675,0.25165562913907286,0.23741007194244604,United States,0.06052330332773277,0.06634927079575532,0.05457605415177988,0.057841206611840314,0.37681159420289856,0.13207336166405725,0.015689494823955364,1.0,4,5
0.0,Taft,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.27167630057803466,0.9702508960573477,0.0,0.99663675,0.304635761589404,0.26618705035971224,United States,0.06251397710506848,0.07130413755133413,0.06125927375443619,0.06747997049132276,0.5072463768115942,0.061227913218519336,0.007905723099777493,1.0,4,5
0.0,Wilson,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.2658959537572254,0.9681003584229391,0.0,0.99663675,0.33112582781456956,0.3237410071942446,United States,0.059731548905709655,0.07962796192788554,0.06327415435705702,0.07250950530564558,0.5797101449275363,0.14292104674569445,-0.00535567518393095,1.0,4,5
